Seed is: 2
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 7e-05
1, 0, 731, 1, 0.076326
2, 0, 730, 1.7632, 0.143614
3, 0, 729, 2.52639, 0.206734
4, 0, 728, 3.52639, 0.269684
5, 0, 728, 3.15286, 0.331942
6, 0, 727, 3.91606, 0.393991
7, 0, 726, 4.67926, 0.455728
8, 0, 725, 5.67926, 0.51948
9, 0, 724, 6.44245, 0.58272
10, 0, 723, 7.20565, 0.645289
11, 0, 722, 8.20565, 0.707317
12, 0, 721, 8.96885, 0.769366
13, 0, 720, 9.73204, 0.831764
14, 0, 719, 10.4952, 0.894093
15, 0, 718, 10.263, 0.956773
16, 0, 717, 11.0262, 1.01956
17, 0, 716, 11.7894, 1.0821
18, 0, 715, 12.7894, 1.1447
19, 0, 714, 13.5526, 1.20696
20, 0, 713, 13.3204, 1.26957
21, 0, 712, 14.0836, 1.33205
22, 0, 711, 14.4364, 1.39511
23, 0, 711, 14.7515, 1.4584
24, 0, 711, 14.1734, 1.52109
25, 0, 710, 14.9366, 1.58408
26, 0, 709, 15.6998, 1.647
27, 0, 708, 16.463, 1.71012
28, 0, 707, 17.2262, 1.77287
29, 0, 707, 16.8526, 1.83553
30, 0, 707, 16.4376, 1.89851
31, 0, 707, 16.0226, 1.96132
32, 0, 707, 15.649, 2.02421
33, 0, 707, 15.234, 2.08863
34, 0, 707, 14.8605, 2.15215
35, 0, 707, 14.4869, 2.21595
36, 0, 706, 15.2501, 2.27886
37, 0, 705, 16.0133, 2.34194
38, 0, 704, 16.7765, 2.40506
39, 0, 703, 16.5443, 2.46789
40, 0, 702, 17.5443, 2.53081
41, 0, 701, 18.3075, 2.59381
42, 0, 700, 19.0707, 2.65707
43, 0, 699, 19.8339, 2.72071
44, 0, 698, 19.6017, 2.78382
45, 0, 698, 19.2282, 2.84701
46, 0, 697, 18.996, 2.91003
47, 0, 697, 18.581, 2.97317
48, 0, 697, 18.2074, 3.03627
49, 0, 696, 19.5556, 3.0993
50, 0, 695, 20.3188, 3.16212
51, 0, 694, 21.082, 3.22511
52, 0, 693, 21.8452, 3.28884
53, 0, 692, 22.1979, 3.35288
54, 0, 692, 21.713, 3.42536
55, 0, 691, 23.0611, 3.49041
56, 0, 691, 22.6876, 3.55445
57, 0, 691, 22.5177, 3.61856
58, 0, 690, 22.759, 3.6828
59, 0, 690, 22.5545, 3.74752
60, 0, 690, 22.1809, 3.8118
61, 0, 690, 21.8074, 3.87573
62, 0, 690, 21.3924, 3.93982
63, 0, 690, 21.0188, 4.00372
64, 0, 690, 20.5339, 4.06825
65, 0, 690, 20.3809, 4.13301
66, 0, 690, 20.211, 4.19702
67, 0, 689, 20.4524, 4.26084
68, 0, 689, 20.2478, 4.32532
69, 0, 689, 20.0949, 4.38954
70, 0, 689, 19.7214, 4.45345
71, 0, 689, 19.2364, 4.518
72, 0, 688, 19.0042, 4.58833
73, 0, 688, 18.6307, 4.65235
74, 0, 688, 18.2571, 4.71626
75, 0, 688, 18.0526, 4.78078
76, 0, 688, 17.8997, 4.84471
77, 0, 687, 19.2478, 4.90857
78, 0, 686, 20.2478, 4.97182
79, 0, 685, 21.011, 5.0355
80, 0, 685, 20.5261, 5.09991
81, 0, 684, 21.2893, 5.164
82, 0, 683, 22.0525, 5.22754
83, 0, 682, 22.8157, 5.29108
84, 0, 681, 22.5835, 5.35476
85, 0, 680, 23.3467, 5.41923
86, 0, 679, 24.1099, 5.48312
87, 0, 678, 24.8731, 5.54734
88, 0, 677, 24.6409, 5.61104
89, 0, 676, 25.4041, 5.67482
90, 0, 676, 25.0305, 5.73917
91, 0, 675, 25.3833, 5.80379
92, 0, 675, 24.8983, 5.86805
93, 0, 674, 26.2465, 5.93212
94, 0, 673, 27.0097, 5.99592
95, 0, 672, 26.7775, 6.05963
96, 0, 671, 27.5407, 6.12525
97, 0, 670, 28.3039, 6.18929
98, 0, 669, 29.0671, 6.25345
99, 0, 669, 28.6936, 6.31786
100, 0, 669, 28.2785, 6.38199
101, 0, 669, 27.905, 6.44783
102, 0, 669, 27.5314, 6.51375
103, 0, 669, 27.3269, 6.57888
104, 0, 669, 26.9534, 6.64385
105, 0, 668, 27.7166, 6.7088
106, 0, 667, 28.4798, 6.78909
107, 0, 666, 29.243, 6.85459
108, 0, 665, 30.0062, 6.91918
109, 0, 664, 30.7694, 6.98382
110, 0, 663, 30.5372, 7.04875
111, 0, 662, 31.3004, 7.11369
112, 0, 661, 32.0636, 7.17891
113, 0, 660, 32.8268, 7.24411
114, 0, 659, 33.59, 7.30919
115, 0, 658, 34.3532, 7.37459
116, 0, 657, 35.1164, 7.43947
117, 0, 656, 35.8795, 7.50437
118, 0, 655, 36.6427, 7.57001
119, 0, 654, 37.4059, 7.65164
120, 0, 653, 38.4059, 7.71743
121, 0, 652, 39.1691, 7.79223
122, 0, 651, 39.9323, 7.85831
123, 0, 650, 40.6955, 7.92354
124, 0, 649, 41.4587, 7.98907
125, 0, 648, 42.2219, 8.05449
126, 0, 647, 42.9851, 8.11957
127, 0, 646, 43.7483, 8.18518
128, 0, 645, 44.5115, 8.25021
129, 0, 644, 45.2747, 8.31636
130, 0, 643, 46.2747, 8.3818
131, 0, 642, 47.0379, 8.44764
132, 0, 641, 47.8011, 8.51489
133, 0, 640, 48.5643, 8.58117
134, 0, 639, 49.3275, 8.64732
135, 0, 638, 50.0907, 8.71365
136, 0, 637, 50.8539, 8.7799
137, 0, 636, 51.6171, 8.8461
138, 0, 635, 52.6171, 8.91222
139, 0, 634, 53.3803, 8.97849
140, 0, 633, 54.1435, 9.04526
141, 0, 632, 54.9067, 9.11177
142, 0, 631, 55.6699, 9.17839
143, 0, 630, 56.4331, 9.24484
144, 0, 629, 57.1963, 9.31128
145, 0, 628, 57.9595, 9.37808
146, 0, 627, 58.9595, 9.44463
147, 0, 626, 58.7273, 9.51304
148, 0, 625, 59.7273, 9.58014
149, 0, 624, 60.4905, 9.64795
150, 0, 623, 61.2537, 9.71504
151, 0, 623, 60.8386, 9.78254
