Seed is: 43
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 7e-05
1, 0, 731, 1, 0.066326
2, 0, 731, 0.584963, 0.130789
3, 0, 731, 0.415037, 0.19429
4, 0, 730, 1.17823, 0.257079
5, 0, 729, 1.94143, 0.320029
6, 0, 729, 1.5679, 0.396625
7, 0, 729, 1.19436, 0.460527
8, 0, 729, 1.04143, 0.528186
9, 0, 729, 0.888499, 0.591496
10, 0, 728, 1.8885, 0.663624
11, 0, 728, 1.47346, 0.726714
12, 0, 728, 1.30354, 0.789233
13, 0, 727, 2.06673, 0.851952
14, 0, 726, 3.06673, 0.915894
15, 0, 725, 3.82993, 0.978794
16, 0, 725, 3.4564, 1.0418
17, 0, 725, 3.08286, 1.10504
18, 0, 725, 2.92993, 1.16781
19, 0, 725, 2.51489, 1.23027
20, 0, 725, 2.36196, 1.2929
21, 0, 725, 2.27816, 1.35593
22, 0, 725, 2.10824, 1.41903
23, 0, 724, 1.87605, 1.48245
24, 0, 723, 3.2242, 1.54965
25, 0, 722, 3.9874, 1.62506
26, 0, 721, 4.7506, 1.68891
27, 0, 720, 5.7506, 1.75253
28, 0, 720, 5.33556, 1.81828
29, 0, 720, 5.16564, 1.88224
30, 0, 719, 5.92883, 1.94597
31, 0, 718, 6.69203, 2.00957
32, 0, 718, 6.3185, 2.07312
33, 0, 717, 6.0863, 2.13813
34, 0, 716, 7.43446, 2.20368
35, 0, 715, 8.19766, 2.30152
36, 0, 714, 9.19766, 2.36639
37, 0, 713, 9.96086, 2.44033
38, 0, 713, 9.80793, 2.50441
39, 0, 713, 9.43439, 2.56799
40, 0, 712, 9.2022, 2.63129
41, 0, 712, 9.10909, 2.69481
42, 0, 711, 10.4573, 2.75881
43, 0, 711, 10.0837, 2.82261
44, 0, 711, 9.59875, 2.88665
45, 0, 711, 9.50564, 2.95041
46, 0, 711, 9.35271, 3.03187
47, 0, 711, 9.29382, 3.09643
48, 0, 711, 9.08928, 3.16062
49, 0, 711, 8.60432, 3.23645
50, 0, 711, 8.23078, 3.30065
51, 0, 711, 8.17189, 3.36423
52, 0, 711, 7.96735, 3.42766
53, 0, 710, 8.73055, 3.4909
54, 0, 709, 9.49375, 3.56467
55, 0, 708, 10.2569, 3.63272
56, 0, 708, 9.88341, 3.69702
57, 0, 708, 9.50988, 3.76358
58, 0, 707, 9.75122, 3.82808
59, 0, 707, 9.54668, 3.89425
60, 0, 707, 9.39375, 3.9581
61, 0, 706, 10.3937, 4.02195
62, 0, 706, 9.97871, 4.08573
63, 0, 706, 9.80878, 4.1498
64, 0, 705, 10.572, 4.21391
65, 0, 704, 11.3352, 4.27838
66, 0, 703, 12.0984, 4.34283
67, 0, 703, 11.7248, 4.40676
68, 0, 702, 12.0776, 4.47091
69, 0, 702, 12.3926, 4.53489
70, 0, 702, 11.8146, 4.59942
71, 0, 702, 11.6616, 4.66375
72, 0, 702, 11.8662, 4.72792
73, 0, 701, 12.6294, 4.79194
74, 0, 700, 13.3926, 4.87451
75, 0, 700, 13.019, 4.93936
76, 0, 700, 12.6455, 5.00399
77, 0, 700, 12.4926, 5.06808
78, 0, 700, 12.3396, 5.13237
79, 0, 699, 12.1075, 5.19684
80, 0, 698, 13.4556, 5.26144
81, 0, 697, 14.2188, 5.32539
82, 0, 696, 14.982, 5.40084
83, 0, 695, 15.3348, 5.4656
84, 0, 695, 15.6498, 5.53024
85, 0, 695, 15.0717, 5.59476
86, 0, 695, 14.6982, 5.65916
87, 0, 695, 14.4348, 5.74243
88, 0, 695, 14.2818, 5.80832
89, 0, 694, 15.2818, 5.8734
90, 0, 694, 14.8668, 5.93803
91, 0, 694, 14.6969, 6.00798
92, 0, 693, 15.4601, 6.073
