Seed is: 20
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 5e-05
1, 0, 731, 1, 0.064663
2, 0, 731, 0.584963, 0.127713
3, 0, 731, 0.415037, 0.190402
4, 0, 730, 1.17823, 0.253112
5, 0, 729, 1.94143, 0.316232
6, 0, 729, 1.5679, 0.379041
7, 0, 729, 1.19436, 0.451059
8, 0, 729, 1.04143, 0.513898
9, 0, 729, 0.888499, 0.576237
10, 0, 728, 1.8885, 0.638325
11, 0, 728, 1.47346, 0.700414
12, 0, 728, 1.30354, 0.762913
13, 0, 727, 2.06673, 0.825271
14, 0, 726, 3.06673, 0.88738
15, 0, 726, 2.6517, 0.952554
16, 0, 726, 2.48177, 1.01494
17, 0, 725, 3.24497, 1.07754
18, 0, 724, 4.00817, 1.13957
19, 0, 724, 3.63463, 1.20224
20, 0, 724, 3.2611, 1.2665
21, 0, 724, 3.10817, 1.32906
22, 0, 723, 3.34951, 1.39159
23, 0, 722, 4.1127, 1.45559
24, 0, 721, 3.88051, 1.51827
25, 0, 720, 5.22867, 1.5809
26, 0, 720, 4.85514, 1.64478
27, 0, 720, 5.17017, 1.70774
28, 0, 719, 5.93337, 1.7706
29, 0, 718, 6.69657, 1.8353
30, 0, 718, 6.32304, 1.89834
31, 0, 717, 6.67581, 1.96094
32, 0, 717, 6.19084, 2.02376
33, 0, 717, 6.03791, 2.10573
34, 0, 717, 5.83337, 2.16944
35, 0, 716, 6.59657, 2.23239
36, 0, 715, 7.35977, 2.29518
37, 0, 714, 8.12296, 2.35848
38, 0, 714, 7.74943, 2.42128
39, 0, 714, 7.3759, 2.48395
40, 0, 713, 7.61724, 2.54677
41, 0, 713, 7.4127, 2.60954
42, 0, 712, 7.65404, 2.67284
43, 0, 711, 8.65404, 2.73565
44, 0, 711, 8.239, 2.79893
45, 0, 711, 8.06908, 2.86199
46, 0, 710, 7.83688, 2.92503
47, 0, 709, 9.18504, 2.98823
48, 0, 708, 9.94824, 3.05158
49, 0, 708, 9.46328, 3.11483
50, 0, 708, 9.08975, 3.17814
51, 0, 708, 8.88521, 3.24178
52, 0, 707, 9.6484, 3.30586
53, 0, 706, 10.4116, 3.36927
54, 0, 705, 11.4116, 3.43232
55, 0, 705, 10.9966, 3.49809
56, 0, 705, 10.8266, 3.56111
57, 0, 704, 11.5898, 3.62407
58, 0, 704, 11.2163, 3.68692
59, 0, 703, 11.5691, 3.75867
60, 0, 703, 11.0841, 3.82651
61, 0, 703, 10.9312, 3.88997
62, 0, 703, 10.7266, 3.95403
63, 0, 702, 11.4898, 4.03275
64, 0, 701, 12.253, 4.09729
65, 0, 701, 11.8795, 4.16216
66, 0, 701, 11.506, 4.22614
67, 0, 701, 11.353, 4.29022
68, 0, 701, 11.2001, 4.35444
69, 0, 700, 11.9633, 4.41833
70, 0, 700, 11.5898, 4.4819
71, 0, 700, 11.2162, 4.5456
72, 0, 700, 11.0633, 4.60984
73, 0, 700, 10.9104, 4.67389
74, 0, 700, 10.7574, 4.73762
75, 0, 700, 10.3839, 4.80157
76, 0, 699, 11.1471, 4.86561
77, 0, 698, 11.9103, 4.94672
78, 0, 698, 11.5368, 5.01157
79, 0, 698, 11.1632, 5.07571
80, 0, 698, 11.0103, 5.13989
81, 0, 698, 10.8574, 5.20383
82, 0, 697, 11.8574, 5.27653
83, 0, 697, 11.4423, 5.34108
84, 0, 697, 11.2724, 5.40469
85, 0, 696, 12.0356, 5.46905
86, 0, 695, 12.7988, 5.53303
87, 0, 694, 13.562, 5.59731
88, 0, 693, 14.3252, 5.66116
89, 0, 693, 13.9517, 5.72525
90, 0, 693, 13.5781, 5.78972
91, 0, 693, 13.4252, 5.85333
92, 0, 693, 13.2723, 5.91756
93, 0, 692, 14.0355, 5.98285
94, 0, 692, 13.6619, 6.04655
95, 0, 691, 14.0147, 6.11096
96, 0, 691, 13.5297, 6.17536
97, 0, 691, 13.3768, 6.23962
98, 0, 691, 13.1723, 6.30427
99, 0, 691, 12.5942, 6.36877
100, 0, 691, 12.5104, 6.43705
101, 0, 691, 12.3575, 6.51975
102, 0, 691, 11.9839, 6.58429
103, 0, 691, 11.9001, 6.64839
104, 0, 691, 11.8163, 6.71256
105, 0, 690, 12.5795, 6.78329
106, 0, 689, 13.3427, 6.84793
107, 0, 689, 12.9692, 6.91241
108, 0, 689, 12.5956, 6.97862
109, 0, 689, 12.4427, 7.04383
110, 0, 689, 12.2898, 7.13044
111, 0, 688, 13.2898, 7.19557
112, 0, 688, 12.8747, 7.26045
113, 0, 688, 12.7048, 7.32552
114, 0, 687, 12.4726, 7.39027
115, 0, 686, 13.8208, 7.45531
116, 0, 685, 14.584, 7.52006
117, 0, 684, 15.3472, 7.58459
118, 0, 684, 14.9736, 7.64894
119, 0, 683, 15.3264, 7.71392
120, 0, 683, 14.8415, 7.77844
121, 0, 683, 14.6885, 7.84304
122, 0, 683, 14.484, 7.90788
123, 0, 682, 15.2472, 7.97272
124, 0, 682, 14.7622, 8.03765
125, 0, 682, 14.3887, 8.10276
126, 0, 682, 14.1841, 8.16722
127, 0, 681, 14.9473, 8.232
128, 0, 680, 15.7105, 8.29685
129, 0, 679, 15.4783, 8.36267
130, 0, 679, 15.4368, 8.42743
131, 0, 678, 17.1415, 8.49212
132, 0, 678, 16.768, 8.5571
133, 0, 678, 16.1899, 8.6255
134, 0, 677, 16.9531, 8.69058
135, 0, 676, 17.3059, 8.75726
136, 0, 676, 16.8209, 8.8223
137, 0, 676, 16.4474, 8.8872
138, 0, 676, 16.2429, 8.95224
139, 0, 676, 16.0899, 9.0171
140, 0, 676, 16.253, 9.08208
141, 0, 675, 16.4427, 9.14725
142, 0, 675, 16.2898, 9.21205
143, 0, 675, 16.206, 9.27713
144, 0, 674, 16.9692, 9.34229
145, 0, 673, 17.7324, 9.40783
146, 0, 673, 17.3588, 9.47297
147, 0, 673, 16.9853, 9.53827
148, 0, 673, 16.8324, 9.60452
149, 0, 673, 16.6794, 9.66935
150, 0, 672, 17.4426, 9.73438
151, 0, 671, 18.2058, 9.79935
152, 0, 670, 18.969, 9.86468
153, 0, 669, 19.7322, 9.93007
154, 0, 668, 20.4954, 9.99524
155, 0, 667, 21.4954, 10.0604
156, 0, 667, 21.0804, 10.1257
157, 0, 667, 20.9105, 10.1939
158, 0, 666, 21.6737, 10.259
159, 0, 666, 21.3001, 10.3242
160, 0, 665, 21.6529, 10.3896
161, 0, 665, 21.1679, 10.4651
162, 0, 665, 21.015, 10.5307
163, 0, 665, 20.8105, 10.5962
164, 0, 664, 21.5737, 10.6621
165, 0, 664, 21.2001, 10.7284
