Seed is: 23
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 7e-05
1, 0, 731, 1, 0.065244
2, 0, 730, 1.7632, 0.129627
3, 0, 729, 2.52639, 0.192196
4, 0, 728, 3.52639, 0.254575
5, 0, 727, 4.28959, 0.317565
6, 0, 726, 5.28959, 0.379703
7, 0, 725, 6.05279, 0.442443
8, 0, 724, 6.81599, 0.504611
9, 0, 723, 7.57918, 0.56706
10, 0, 723, 7.16415, 0.629579
11, 0, 722, 7.51692, 0.692178
12, 0, 722, 7.03195, 0.755209
13, 0, 721, 7.79515, 0.817367
14, 0, 720, 8.55835, 0.879505
15, 0, 719, 9.55835, 0.942114
16, 0, 718, 10.3215, 1.00441
17, 0, 717, 11.0847, 1.06689
18, 0, 716, 11.8479, 1.1293
19, 0, 715, 12.6111, 1.19194
20, 0, 715, 12.2376, 1.25499
21, 0, 715, 11.8226, 1.3182
22, 0, 715, 11.449, 1.38129
23, 0, 714, 12.2122, 1.44431
24, 0, 713, 13.2122, 1.50656
25, 0, 712, 13.9754, 1.56915
26, 0, 711, 14.7386, 1.63155
27, 0, 710, 15.5018, 1.70947
28, 0, 710, 15.0868, 1.77299
29, 0, 710, 14.7132, 1.83593
30, 0, 709, 15.4764, 1.89909
31, 0, 708, 16.2396, 1.96173
32, 0, 707, 17.0028, 2.02444
33, 0, 706, 17.766, 2.08776
34, 0, 706, 17.3925, 2.15071
35, 0, 706, 17.019, 2.2138
36, 0, 706, 16.8144, 2.27703
37, 0, 706, 16.4409, 2.34001
38, 0, 705, 17.2041, 2.40298
39, 0, 704, 17.9673, 2.46564
40, 0, 703, 18.9673, 2.5291
41, 0, 702, 19.7305, 2.59291
42, 0, 701, 20.4937, 2.65634
43, 0, 700, 21.2569, 2.71929
44, 0, 699, 22.0201, 2.78283
45, 0, 698, 22.3729, 2.84678
46, 0, 698, 21.8879, 2.91386
47, 0, 698, 21.4729, 2.97773
48, 0, 698, 21.0993, 3.04157
49, 0, 697, 21.4521, 3.10524
50, 0, 697, 20.9671, 3.16941
51, 0, 696, 21.7303, 3.23353
52, 0, 695, 22.4935, 3.29711
53, 0, 694, 23.2567, 3.36012
54, 0, 693, 24.0199, 3.42348
55, 0, 693, 23.6464, 3.48731
56, 0, 693, 23.2728, 3.55142
57, 0, 693, 23.1199, 3.61549
58, 0, 693, 22.95, 3.67974
59, 0, 693, 22.7801, 3.74445
60, 0, 693, 22.6271, 3.80925
61, 0, 693, 22.2536, 3.87347
62, 0, 692, 23.0168, 3.93775
63, 0, 691, 24.0168, 4.00153
64, 0, 690, 24.78, 4.06568
65, 0, 689, 25.5432, 4.12965
66, 0, 688, 26.3064, 4.19376
67, 0, 688, 25.8913, 4.25821
68, 0, 688, 25.5178, 4.3228
69, 0, 687, 26.281, 4.3877
70, 0, 686, 27.0442, 4.45177
71, 0, 685, 27.8074, 4.51609
72, 1, 684, 28.8074, 4.57984
73, 2, 683, 29.8074, 4.64413
74, 2, 683, 29.4339, 4.70835
75, 2, 682, 30.1971, 4.77198
76, 2, 681, 31.1971, 4.83535
77, 2, 680, 31.9603, 4.89901
78, 2, 679, 32.7235, 4.96264
79, 2, 678, 33.4867, 5.03798
80, 2, 678, 33.0716, 5.10244
81, 2, 678, 32.6981, 5.16646
82, 2, 678, 32.3246, 5.2308
83, 2, 677, 33.0878, 5.29486
84, 2, 676, 33.851, 5.35859
85, 2, 675, 34.6141, 5.42273
86, 2, 674, 35.3773, 5.48703
87, 2, 673, 35.1452, 5.55134
88, 2, 673, 34.7716, 5.61536
89, 3, 673, 34.3566, 5.68006
90, 4, 673, 34.1867, 5.74464
91, 5, 673, 33.7716, 5.81519
92, 6, 673, 33.6017, 5.88079
93, 7, 673, 33.5086, 5.94657
94, 8, 673, 33.4155, 6.01267
95, 9, 673, 33.3566, 6.0797
96, 10, 673, 33.2977, 6.14671
97, 11, 673, 33.257, 6.21453
98, 12, 673, 33.2164, 6.28279
99, 13, 673, 33.1867, 6.35201
100, 14, 673, 33.1569, 6.42255
101, 15, 673, 33.1342, 6.49373
102, 16, 673, 33.1115, 6.56611
103, 17, 673, 33.0935, 6.63934
104, 18, 673, 33.0756, 6.71425
105, 18, 672, 33.317, 6.79007
106, 18, 672, 33.1124, 6.86602
107, 18, 672, 32.7389, 6.93033
108, 18, 672, 32.3654, 6.99497
109, 18, 672, 32.1954, 7.05926
110, 18, 672, 32.0425, 7.12339
111, 18, 672, 31.669, 7.19018
112, 18, 672, 31.2954, 7.25504
113, 18, 672, 30.9219, 7.31986
114, 18, 672, 30.5484, 7.38457
115, 18, 671, 31.5484, 7.44923
116, 18, 671, 31.1333, 7.51448
117, 18, 671, 30.7598, 7.57958
118, 18, 670, 30.5276, 7.64399
119, 18, 669, 31.2908, 7.70913
120, 18, 669, 31.1379, 7.78578
121, 18, 669, 30.7643, 7.8508
122, 18, 668, 31.5275, 7.91555
123, 18, 667, 32.2907, 7.98015
124, 18, 666, 33.0539, 8.04479
125, 18, 665, 33.8171, 8.10954
126, 18, 664, 33.5849, 8.17502
127, 18, 663, 33.3527, 8.23987
128, 18, 662, 34.1159, 8.31331
129, 18, 661, 34.8791, 8.3801
130, 18, 660, 35.6423, 8.4454
131, 18, 659, 36.4055, 8.51078
132, 18, 658, 37.1687, 8.57578
133, 18, 657, 37.9319, 8.64099
134, 18, 656, 38.6951, 8.70606
135, 18, 655, 38.4629, 8.77129
136, 18, 654, 39.4629, 8.83694
137, 18, 653, 40.2261, 8.92705
138, 18, 652, 40.9893, 9.01839
139, 18, 652, 40.6158, 9.0942
140, 18, 652, 40.2423, 9.16078
141, 18, 651, 41.5904, 9.22843
142, 18, 650, 42.3536, 9.29423
143, 18, 649, 43.1168, 9.36028
144, 18, 648, 43.88, 9.42653
145, 18, 647, 44.6432, 9.49478
146, 18, 646, 45.4064, 9.56086
147, 18, 645, 46.1696, 9.62787
148, 18, 644, 46.9328, 9.69419
149, 18, 643, 47.9328, 9.7599
150, 18, 642, 48.696, 9.82617
151, 18, 641, 49.4592, 9.89491
152, 18, 640, 49.227, 9.96368
153, 18, 639, 49.9902, 10.0317
154, 18, 638, 50.7534, 10.0982
155, 18, 637, 51.5166, 10.1646
156, 18, 636, 52.5166, 10.2309
157, 18, 635, 53.2798, 10.2974
158, 18, 634, 54.043, 10.364
159, 18, 633, 54.8062, 10.4311
160, 18, 632, 55.5694, 10.4991
161, 18, 631, 56.3326, 10.566
162, 18, 630, 57.0958, 10.6327
163, 18, 629, 57.859, 10.6991
164, 18, 628, 58.859, 10.7658
165, 18, 627, 59.6222, 10.8325
166, 18, 626, 59.39, 10.8991
167, 18, 625, 60.1532, 10.9655
168, 18, 624, 60.9164, 11.032
169, 18, 623, 61.9164, 11.0985
170, 18, 622, 62.6796, 11.1652
171, 18, 621, 62.4474, 11.2325
172, 18, 620, 63.2106, 11.2993
173, 18, 619, 63.9738, 11.3684
174, 18, 618, 64.9738, 11.4352
175, 18, 617, 65.737, 11.5021
176, 18, 616, 66.5002, 11.569
177, 18, 615, 67.2634, 11.6495
178, 18, 614, 68.2634, 11.7188
179, 18, 613, 69.0266, 11.7872
180, 18, 612, 68.7944, 11.8545
181, 18, 612, 68.4208, 11.922
182, 18, 611, 69.184, 11.9893
183, 18, 610, 70.184, 12.0564
184, 18, 609, 70.9472, 12.1236
185, 18, 608, 71.7104, 12.1912
186, 18, 607, 72.4736, 12.2586
187, 18, 607, 72.0586, 12.326
188, 18, 607, 71.685, 12.3937
189, 18, 606, 73.0332, 12.4611
190, 18, 605, 73.7964, 12.5281
191, 18, 605, 73.3114, 12.5961
192, 18, 604, 74.0746, 12.6634
193, 18, 603, 74.8378, 12.7307
194, 18, 602, 75.601, 12.7978
195, 18, 601, 76.3642, 12.8654
196, 18, 600, 76.132, 12.9327
197, 18, 599, 76.8952, 13.0008
198, 18, 598, 77.6584, 13.0689
199, 18, 597, 78.6584, 13.1369
200, 18, 596, 79.4216, 13.2052
201, 18, 595, 80.1848, 13.2734
