Seed is: 51
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 8e-05
1, 0, 731, 1, 0.067108
2, 0, 730, 1.7632, 0.129837
3, 0, 729, 2.52639, 0.191915
4, 0, 728, 3.52639, 0.254104
5, 0, 727, 4.28959, 0.316412
6, 0, 726, 5.05279, 0.378551
7, 0, 726, 4.63775, 0.440238
8, 0, 726, 4.26422, 0.502216
9, 0, 725, 5.02741, 0.565296
10, 0, 724, 5.79061, 0.630591
11, 0, 723, 6.55381, 0.692959
12, 0, 723, 6.40088, 0.756761
13, 0, 722, 7.16407, 0.818969
14, 0, 721, 7.92727, 0.882651
15, 0, 721, 7.55374, 0.946192
16, 0, 721, 7.46994, 1.00915
17, 0, 721, 7.09641, 1.0718
18, 0, 721, 6.72287, 1.13412
19, 0, 721, 6.34934, 1.19652
20, 0, 721, 6.17941, 1.2591
21, 0, 720, 6.94261, 1.32092
22, 0, 719, 7.70581, 1.38333
23, 0, 718, 8.469, 1.44588
24, 0, 717, 9.2322, 1.50863
25, 0, 716, 9.9954, 1.57139
26, 0, 715, 10.7586, 1.63385
27, 0, 714, 11.5218, 1.69749
28, 0, 713, 12.285, 1.76056
29, 0, 712, 13.0482, 1.82378
30, 0, 711, 13.8114, 1.90313
31, 0, 710, 14.5746, 1.96913
32, 0, 710, 14.201, 2.03172
33, 0, 710, 13.8275, 2.0942
34, 0, 710, 13.6746, 2.157
35, 0, 710, 13.5216, 2.22067
36, 0, 710, 13.4379, 2.28281
37, 0, 710, 13.2849, 2.34553
38, 0, 709, 14.0481, 2.41861
39, 0, 709, 13.9643, 2.48143
40, 0, 708, 14.7275, 2.54357
41, 0, 707, 14.4953, 2.60602
42, 0, 706, 15.8435, 2.66961
43, 0, 705, 16.6067, 2.73247
44, 0, 704, 17.3699, 2.79573
45, 0, 703, 17.6112, 2.85862
46, 0, 703, 17.4067, 2.92184
47, 0, 703, 17.3136, 2.98481
48, 0, 703, 16.94, 3.04802
49, 0, 703, 16.5665, 3.11148
50, 0, 703, 16.193, 3.17447
51, 0, 702, 16.9562, 3.238
52, 0, 701, 17.9562, 3.30129
53, 0, 700, 18.7194, 3.3651
54, 0, 699, 19.0721, 3.42895
55, 0, 699, 18.5872, 3.49294
56, 0, 699, 18.2136, 3.55615
57, 0, 699, 18.0091, 3.62006
58, 0, 699, 17.8562, 3.68348
59, 0, 699, 17.7457, 3.74668
60, 0, 699, 17.6619, 3.80974
61, 0, 699, 17.2883, 3.87401
62, 0, 699, 16.9148, 3.93735
63, 0, 698, 17.678, 4.00093
64, 0, 697, 18.4412, 4.06433
65, 0, 696, 19.2044, 4.12849
66, 0, 695, 19.9676, 4.19266
67, 0, 694, 20.7308, 4.25805
68, 0, 693, 21.494, 4.32266
69, 0, 692, 22.2572, 4.38613
70, 0, 692, 22.1042, 4.46663
71, 0, 692, 21.7307, 4.5325
72, 0, 692, 21.3572, 4.62911
73, 0, 692, 21.2042, 4.69317
74, 0, 692, 21.1454, 4.75628
75, 0, 692, 20.9924, 4.81959
76, 0, 691, 21.7556, 4.88373
77, 0, 691, 21.3821, 4.94708
78, 0, 691, 21.0086, 5.00998
79, 0, 691, 20.9679, 5.07298
80, 0, 691, 20.8841, 5.13668
81, 0, 690, 21.2369, 5.20032
82, 0, 689, 22.2369, 5.26347
83, 0, 689, 21.7519, 5.32707
84, 0, 688, 22.5151, 5.39034
85, 0, 687, 23.2783, 5.45447
86, 0, 687, 23.1254, 5.51815
87, 0, 687, 22.9724, 5.58205
88, 0, 686, 23.7356, 5.64563
89, 0, 685, 23.5035, 5.72196
90, 0, 684, 24.2666, 5.78605
91, 0, 683, 25.0298, 5.84959
92, 0, 682, 26.0298, 5.91332
93, 0, 682, 25.6148, 5.97733
94, 0, 681, 26.378, 6.04135
95, 0, 681, 26.2251, 6.10698
96, 0, 681, 26.0721, 6.17076
97, 0, 681, 26.0191, 6.23437
98, 0, 680, 26.7823, 6.29816
99, 0, 679, 27.5455, 6.36196
100, 0, 679, 27.172, 6.4263
101, 0, 678, 27.9352, 6.49293
102, 0, 678, 27.5202, 6.55961
103, 0, 678, 27.4364, 6.62373
104, 0, 678, 27.3834, 6.68831
105, 0, 678, 27.2134, 6.75229
106, 0, 678, 27.0089, 6.81648
107, 0, 678, 26.5939, 6.87998
108, 0, 678, 26.4239, 6.94436
109, 0, 678, 26.0504, 7.0102
110, 0, 678, 25.6769, 7.07387
111, 0, 678, 25.5931, 7.13784
112, 0, 678, 25.5401, 7.2018
113, 0, 678, 25.5035, 7.26544
114, 0, 678, 25.393, 7.32865
115, 0, 678, 25.24, 7.39222
116, 0, 678, 25.0871, 7.45622
117, 0, 678, 25.0341, 7.52001
118, 0, 678, 24.9668, 7.58347
119, 0, 678, 24.883, 7.6467
120, 0, 677, 25.6462, 7.71044
121, 0, 676, 26.4094, 7.77498
122, 0, 675, 27.7575, 7.83899
123, 0, 674, 28.5207, 7.90341
124, 0, 673, 29.2839, 7.96774
125, 0, 673, 28.9104, 8.03152
126, 0, 672, 29.6736, 8.0958
127, 0, 671, 30.4368, 8.16015
128, 0, 670, 31.2, 8.22472
129, 0, 669, 31.9632, 8.28995
130, 0, 668, 32.7264, 8.3546
131, 0, 667, 33.4896, 8.41888
132, 0, 667, 33.116, 8.48508
133, 0, 666, 32.8838, 8.55035
134, 0, 665, 34.232, 8.61498
135, 0, 664, 34.9952, 8.6796
136, 0, 663, 35.7584, 8.74465
137, 0, 662, 36.5216, 8.80936
138, 0, 661, 37.2848, 8.87422
139, 0, 660, 38.048, 8.93972
140, 0, 659, 37.8158, 9.00533
141, 0, 658, 39.164, 9.08135
142, 0, 657, 39.9272, 9.14664
143, 0, 656, 40.9272, 9.22044
144, 0, 656, 40.5121, 9.30448
145, 0, 655, 41.2753, 9.38066
146, 0, 654, 42.2753, 9.47494
147, 0, 654, 41.8603, 9.55807
148, 0, 654, 41.6903, 9.64837
149, 0, 654, 41.5972, 9.7628
150, 0, 653, 41.365, 9.84926
151, 0, 652, 42.1282, 9.91652
152, 0, 651, 42.8914, 10.0127
153, 0, 650, 43.6546, 10.1264
154, 0, 649, 43.4224, 10.2136
155, 0, 649, 42.9375, 10.2841
156, 0, 649, 42.5639, 10.3501
157, 0, 648, 43.3271, 10.4165
158, 0, 647, 44.0903, 10.4825
159, 0, 646, 44.8535, 10.5483
160, 0, 645, 45.6167, 10.6266
161, 0, 644, 46.3799, 10.6946
162, 0, 643, 47.1431, 10.7607
163, 0, 642, 47.9063, 10.8304
164, 0, 641, 47.6741, 10.8966
165, 0, 640, 48.4373, 10.963
166, 0, 639, 48.2051, 11.0289
167, 0, 638, 48.9683, 11.0953
168, 0, 637, 49.7315, 11.1618
169, 0, 636, 50.4947, 11.2283
