Seed is: 42
Number of samples is: 3000
Simulation name is: Simulation_2TV_10x10.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 732, 0, 6e-05
1, 0, 731, 1, 0.064633
2, 0, 731, 0.584963, 0.127492
3, 0, 731, 0.415037, 0.189571
4, 0, 730, 1.17823, 0.251328
5, 0, 729, 1.94143, 0.31507
6, 0, 729, 1.5679, 0.376958
7, 0, 729, 1.19436, 0.438765
8, 0, 729, 1.04143, 0.501014
9, 0, 729, 0.888499, 0.563032
10, 0, 728, 1.8885, 0.624629
11, 0, 728, 1.47346, 0.694873
12, 0, 728, 1.30354, 0.758033
13, 0, 727, 2.06673, 0.820072
14, 0, 726, 3.06673, 0.88221
15, 0, 726, 2.6517, 0.944669
16, 0, 726, 2.48177, 1.00642
17, 0, 725, 3.24497, 1.06868
18, 0, 724, 3.01278, 1.13031
19, 0, 723, 4.36094, 1.19232
20, 0, 722, 4.71371, 1.27636
21, 0, 722, 4.22874, 1.33975
22, 0, 722, 3.74378, 1.40186
23, 0, 722, 3.53924, 1.46399
24, 0, 722, 3.3347, 1.52598
25, 0, 721, 3.10251, 1.58962
26, 0, 720, 4.45067, 1.65431
27, 0, 719, 4.80344, 1.71655
28, 0, 719, 4.31848, 1.77903
29, 0, 719, 3.83352, 1.84207
30, 0, 719, 3.62898, 1.90495
31, 0, 719, 3.42444, 1.9675
32, 0, 719, 3.34064, 2.02996
33, 0, 718, 4.10384, 2.09251
34, 0, 717, 3.87165, 2.1547
35, 0, 716, 5.21981, 2.21771
36, 0, 716, 4.84627, 2.28105
37, 0, 716, 5.16131, 2.34418
38, 0, 716, 4.58324, 2.40647
39, 0, 716, 4.4303, 2.46956
40, 0, 716, 4.16687, 2.53266
41, 0, 715, 5.16687, 2.59525
42, 0, 715, 4.75184, 2.65858
43, 0, 715, 4.58191, 2.72069
44, 0, 714, 5.34511, 2.78304
45, 0, 713, 6.1083, 2.84549
46, 0, 712, 6.8715, 2.90888
47, 0, 712, 6.49797, 2.97437
48, 0, 712, 6.12443, 3.03708
49, 0, 712, 5.9715, 3.10029
50, 0, 712, 5.81857, 3.1629
51, 0, 711, 6.58177, 3.2277
52, 0, 711, 6.20823, 3.29002
53, 0, 711, 5.8347, 3.35308
54, 0, 711, 5.68177, 3.41533
55, 0, 711, 5.52883, 3.47799
56, 0, 711, 5.44504, 3.55712
57, 0, 710, 6.20823, 3.62317
58, 0, 709, 6.97143, 3.68956
59, 0, 708, 7.97143, 3.7531
60, 0, 708, 7.55639, 3.81648
61, 0, 708, 7.38647, 3.87944
62, 0, 707, 8.14966, 3.94556
63, 0, 707, 7.77613, 4.00864
64, 0, 706, 8.1289, 4.08637
65, 0, 706, 7.64394, 4.15899
66, 0, 705, 7.88528, 4.22289
67, 0, 705, 7.68074, 4.2865
68, 0, 705, 7.4762, 4.35003
69, 0, 704, 8.2394, 4.41334
70, 0, 703, 9.0026, 4.47705
71, 0, 703, 8.62906, 4.54095
72, 0, 703, 8.25553, 4.60407
73, 0, 703, 8.1026, 4.66787
74, 0, 703, 7.94966, 4.73124
75, 0, 702, 8.71286, 4.79414
76, 0, 702, 8.33933, 4.85737
77, 0, 702, 7.96579, 4.92111
78, 0, 702, 7.81286, 4.98433
79, 0, 702, 7.65993, 5.0478
80, 0, 702, 7.57613, 5.11142
81, 0, 701, 8.33933, 5.17495
82, 0, 700, 9.10253, 5.23865
83, 0, 700, 8.72899, 5.30216
84, 0, 700, 8.35546, 5.36546
85, 0, 699, 8.5968, 5.42912
86, 0, 699, 8.39226, 5.49285
87, 0, 699, 8.23933, 5.55656
88, 0, 698, 9.00253, 5.62071
89, 0, 697, 9.76572, 5.685
90, 0, 696, 10.5289, 5.74926
91, 0, 696, 10.1554, 5.81358
92, 0, 696, 9.78185, 5.87718
93, 0, 696, 9.62892, 5.94242
94, 0, 696, 9.47599, 6.01394
95, 0, 695, 10.476, 6.07874
96, 0, 695, 10.0609, 6.14287
97, 0, 695, 9.89102, 6.20694
98, 0, 694, 10.6542, 6.27114
99, 0, 694, 10.2807, 6.33571
