Seed is: 33
Number of samples is: 1000
Simulation name is: Simulation_1TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 165, 0, 4e-05
1, 0, 164, 0.763197, 0.045196
2, 0, 163, 1.7632, 0.07341
3, 0, 163, 1.34816, 0.086845
4, 0, 163, 1.17823, 0.111322
5, 0, 162, 1.94143, 0.141539
6, 0, 162, 1.5679, 0.149785
7, 0, 162, 1.19436, 0.157951
8, 0, 162, 1.04143, 0.202115
9, 0, 162, 0.888499, 0.210511
10, 0, 161, 1.6517, 0.218726
11, 0, 160, 2.41489, 0.228074
12, 0, 160, 2.04136, 0.237953
13, 0, 160, 1.66783, 0.271968
14, 0, 160, 1.51489, 0.280093
15, 0, 159, 2.27809, 0.288559
16, 0, 158, 3.04129, 0.317835
17, 0, 158, 2.66775, 0.331181
18, 0, 158, 2.29422, 0.339366
19, 0, 158, 2.14129, 0.348854
20, 0, 158, 1.98836, 0.357
21, 0, 157, 2.98836, 0.388951
22, 0, 157, 2.83542, 0.406233
23, 0, 156, 3.83542, 0.435169
24, 0, 156, 3.42039, 0.461749
25, 0, 156, 3.25046, 0.469955
26, 0, 155, 4.01366, 0.47817
27, 0, 154, 4.77686, 0.499281
28, 0, 153, 5.77686, 0.507486
29, 0, 153, 5.36182, 0.529849
30, 0, 153, 5.19189, 0.538075
31, 0, 152, 5.95509, 0.558123
32, 0, 152, 5.58156, 0.583431
33, 0, 152, 5.20802, 0.592488
34, 0, 152, 5.05509, 0.615692
35, 0, 152, 4.90216, 0.651481
36, 0, 151, 5.66535, 0.668333
37, 0, 150, 6.66535, 0.679454
38, 0, 150, 6.25032, 0.688581
39, 0, 150, 6.08039, 0.697137
40, 0, 149, 7.08039, 0.729549
41, 0, 149, 6.66535, 0.758685
42, 0, 149, 6.49543, 0.800043
43, 0, 149, 6.40232, 0.808369
44, 0, 148, 7.40232, 0.824199
45, 0, 148, 6.98728, 0.832666
46, 0, 148, 6.89417, 0.841242
47, 0, 148, 6.72425, 0.855709
48, 0, 148, 6.63114, 0.87688
49, 0, 147, 7.39434, 0.889123
50, 0, 146, 8.39434, 0.913229
51, 0, 146, 7.9793, 0.921815
52, 0, 146, 7.80937, 0.941773
53, 0, 146, 7.71626, 0.977301
54, 0, 145, 8.47946, 0.997059
55, 0, 144, 9.24266, 1.02123
56, 0, 144, 8.86912, 1.03054
57, 0, 144, 8.49559, 1.04503
58, 0, 144, 8.34266, 1.11722
59, 0, 144, 8.18973, 1.15131
60, 0, 143, 9.18973, 1.16768
61, 0, 143, 8.77469, 1.18047
62, 0, 143, 8.60476, 1.18888
63, 0, 143, 8.54587, 1.23358
64, 0, 142, 9.30907, 1.24264
65, 0, 141, 10.3091, 1.25165
66, 0, 141, 9.89403, 1.26935
67, 0, 141, 9.7241, 1.27813
68, 0, 140, 10.7241, 1.29441
69, 0, 139, 11.4873, 1.30384
70, 0, 139, 11.1138, 1.32295
71, 0, 139, 10.7402, 1.33788
72, 0, 139, 10.5873, 1.36334
73, 0, 139, 10.1723, 1.39402
74, 0, 139, 10.0193, 1.40733
75, 0, 139, 9.93553, 1.42389
76, 0, 139, 9.76561, 1.44343
77, 0, 138, 10.5288, 1.45895
78, 0, 137, 11.292, 1.49165
79, 0, 136, 12.0552, 1.51299
80, 0, 135, 13.0552, 1.53059
81, 0, 135, 12.6402, 1.54554
82, 0, 135, 12.4702, 1.55451
83, 0, 134, 13.2334, 1.59316
84, 0, 134, 12.8599, 1.60187
85, 0, 134, 12.4864, 1.61903
86, 0, 134, 12.3334, 1.64419
87, 0, 134, 12.1805, 1.69078
88, 0, 133, 12.9437, 1.70143
89, 0, 133, 12.5702, 1.71163
90, 0, 133, 12.1966, 1.73044
91, 0, 133, 12.0437, 1.739
92, 0, 132, 12.8069, 1.74787
93, 0, 131, 13.8069, 1.76934
94, 0, 131, 13.3919, 1.77815
95, 0, 131, 13.2219, 1.79707
96, 0, 130, 13.9851, 1.80612
97, 0, 129, 14.3379, 1.81764
98, 0, 129, 13.8529, 1.83381
99, 0, 128, 13.6207, 1.84898
100, 0, 127, 14.9689, 1.8581
101, 0, 126, 14.7367, 1.88173
