Seed is: 28
Number of samples is: 1000
Simulation name is: Simulation_1TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 165, 0, 7e-05
1, 0, 164, 0.763197, 0.010109
2, 0, 163, 1.7632, 0.019507
3, 0, 162, 2.52639, 0.028664
4, 0, 161, 3.28959, 0.037381
5, 0, 160, 4.05279, 0.045787
6, 0, 159, 5.05279, 0.054203
7, 0, 158, 5.81599, 0.062839
8, 0, 157, 6.57918, 0.071055
9, 0, 156, 7.57918, 0.079391
10, 0, 155, 8.34238, 0.087627
11, 0, 154, 9.10558, 0.095802
12, 0, 153, 10.1056, 0.103878
13, 0, 152, 11.1056, 0.112113
14, 0, 151, 12.1056, 0.12074
15, 0, 150, 12.8688, 0.129286
16, 0, 149, 13.8688, 0.137722
17, 0, 148, 14.632, 0.146449
18, 0, 147, 15.3952, 0.154765
19, 0, 146, 16.3952, 0.163331
20, 0, 145, 16.163, 0.171977
21, 0, 145, 15.7479, 0.180844
22, 0, 145, 15.3744, 0.189791
23, 0, 144, 16.1376, 0.198538
24, 0, 143, 16.9008, 0.206934
25, 0, 142, 17.664, 0.215851
26, 0, 141, 17.4318, 0.224397
27, 0, 140, 18.4318, 0.233124
28, 0, 139, 19.4318, 0.242031
29, 0, 138, 20.195, 0.250958
30, 0, 137, 20.9582, 0.259855
31, 0, 136, 21.7214, 0.268501
32, 0, 135, 22.7214, 0.277238
33, 0, 134, 23.7214, 0.286425
34, 0, 133, 24.4846, 0.295352
35, 0, 133, 24.0696, 0.3044
36, 0, 132, 25.4177, 0.313417
37, 0, 131, 26.1809, 0.322564
38, 0, 130, 26.9441, 0.331251
39, 0, 129, 27.7073, 0.339947
40, 0, 128, 28.7073, 0.348694
41, 0, 127, 29.4705, 0.357471
42, 0, 126, 30.2337, 0.366378
43, 0, 125, 30.9969, 0.375244
44, 0, 124, 31.7601, 0.383941
45, 0, 123, 32.5233, 0.392948
46, 0, 123, 32.1083, 0.401995
47, 0, 123, 31.6932, 0.410983
