Seed is: 34
Number of samples is: 1000
Simulation name is: Simulation_1TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 165, 0, 4e-05
1, 0, 164, 0.763197, 0.022442
2, 0, 163, 1.52639, 0.056167
3, 0, 162, 2.28959, 0.071115
4, 0, 161, 3.28959, 0.089089
5, 0, 161, 2.87455, 0.097485
6, 0, 161, 2.70463, 0.118034
7, 0, 160, 3.46783, 0.156568
8, 0, 159, 4.23102, 0.186775
9, 0, 158, 4.99422, 0.195612
10, 0, 157, 5.99422, 0.204078
11, 0, 157, 5.57918, 0.240548
12, 0, 157, 5.40926, 0.248713
13, 0, 157, 5.03572, 0.272739
14, 0, 157, 4.94262, 0.281095
15, 0, 156, 5.29538, 0.316783
16, 0, 155, 5.64815, 0.33114
17, 0, 155, 5.16319, 0.356438
18, 0, 155, 4.78966, 0.367179
19, 0, 155, 4.3047, 0.404129
20, 0, 154, 5.06789, 0.412876
21, 0, 153, 5.83109, 0.424278
22, 0, 152, 6.83109, 0.458403
23, 0, 151, 7.83109, 0.471458
24, 0, 150, 8.83109, 0.508067
25, 0, 150, 8.41605, 0.524328
26, 0, 150, 8.00102, 0.542793
27, 0, 150, 7.58598, 0.582649
28, 0, 150, 7.41605, 0.633236
29, 0, 149, 8.17925, 0.641541
30, 0, 148, 9.17925, 0.674655
31, 0, 147, 9.94245, 0.697157
32, 0, 146, 10.7056, 0.714851
33, 0, 146, 10.3321, 0.743726
34, 0, 145, 11.0953, 0.755298
35, 0, 144, 11.8585, 0.773543
36, 0, 144, 11.485, 0.788211
37, 0, 144, 11.0699, 0.812517
38, 0, 143, 12.0699, 0.829018
39, 0, 143, 11.9, 0.844999
40, 0, 143, 11.485, 0.86643
41, 0, 143, 11.315, 0.878914
42, 0, 143, 11.2219, 0.890836
43, 0, 143, 11.069, 0.902599
44, 0, 142, 11.3103, 0.926514
45, 0, 142, 10.9368, 0.951452
46, 0, 142, 10.5633, 0.961661
47, 0, 141, 11.5633, 0.980838
48, 0, 141, 11.1482, 0.991207
49, 0, 141, 10.9437, 1.00287
50, 0, 140, 11.7069, 1.02846
51, 0, 139, 12.4701, 1.05717
52, 0, 139, 12.377, 1.06568
53, 0, 139, 12.2932, 1.07422
54, 0, 139, 12.1233, 1.08274
55, 0, 138, 13.1233, 1.09108
56, 0, 138, 12.9703, 1.09961
57, 0, 137, 12.7381, 1.16062
58, 0, 136, 13.5013, 1.17355
59, 0, 135, 14.2645, 1.18297
60, 0, 134, 15.2645, 1.19169
61, 0, 134, 14.8495, 1.20071
62, 0, 133, 15.8495, 1.20943
63, 0, 132, 16.6127, 1.23843
64, 0, 132, 16.5289, 1.26089
65, 0, 132, 16.376, 1.29016
66, 0, 132, 16.323, 1.29873
67, 1, 131, 17.323, 1.30752
68, 1, 130, 18.6711, 1.3454
69, 1, 129, 19.4343, 1.35936
70, 2, 129, 19.0193, 1.38165
71, 2, 128, 19.209, 1.397
72, 2, 128, 18.724, 1.40645
73, 2, 127, 19.4872, 1.41572
74, 2, 126, 20.2504, 1.43226
75, 2, 126, 20.1399, 1.48035
76, 2, 126, 20.0869, 1.51579
77, 2, 126, 19.9938, 1.53727
78, 2, 126, 19.9573, 1.5478
79, 2, 126, 19.8468, 1.57526
80, 2, 126, 19.7794, 1.59722
81, 2, 126, 19.7428, 1.61297
82, 2, 126, 19.6839, 1.62206
83, 2, 126, 19.6433, 1.63087
84, 2, 126, 19.5992, 1.63957
85, 2, 126, 19.5403, 1.64823
86, 2, 126, 19.5135, 1.67061
87, 2, 126, 19.0985, 1.69407
88, 2, 126, 19.0683, 1.72564
89, 2, 125, 19.421, 1.74073
90, 2, 125, 19.3622, 1.76211
91, 2, 125, 19.3215, 1.78433
92, 2, 125, 19.2918, 1.80645
93, 2, 125, 19.269, 1.83256
94, 2, 125, 19.2511, 1.84152
95, 2, 125, 18.7662, 1.86429
96, 2, 124, 19.5294, 1.8818
97, 2, 123, 20.2926, 1.91251
98, 2, 123, 19.919, 1.92143
99, 2, 123, 19.7145, 1.94491
100, 2, 122, 20.4777, 1.96476
101, 2, 121, 21.2409, 1.97984
102, 2, 120, 22.0041, 1.98884
103, 2, 119, 23.0041, 2.01902
104, 2, 119, 22.589, 2.04065
105, 2, 119, 22.4191, 2.04942
106, 2, 119, 22.0456, 2.08955
107, 2, 118, 22.8088, 2.09837
108, 2, 117, 23.572, 2.10743
109, 2, 117, 23.419, 2.12716
110, 2, 117, 23.3784, 2.13617
111, 2, 117, 23.358, 2.17319
112, 2, 117, 23.188, 2.19589
113, 2, 116, 23.3292, 2.20955
114, 2, 116, 23.299, 2.21848
115, 2, 116, 23.2316, 2.22755
116, 2, 116, 23.2103, 2.23648
117, 2, 116, 23.1805, 2.24533
118, 2, 116, 23.1578, 2.26126
119, 2, 116, 23.0473, 2.27009
120, 2, 116, 22.6738, 2.27874
121, 2, 116, 22.3002, 2.28761
122, 2, 116, 22.2705, 2.29659
123, 2, 116, 22.2491, 2.31775
124, 3, 116, 22.0792, 2.34095
125, 3, 116, 22.0351, 2.34976
126, 3, 116, 22.0124, 2.36069
127, 3, 116, 21.9945, 2.36916
128, 3, 116, 21.979, 2.37804
129, 3, 116, 21.9645, 2.40829
130, 3, 116, 21.8972, 2.417
131, 3, 116, 21.8134, 2.42568
132, 3, 116, 21.7955, 2.43474
133, 3, 116, 21.7793, 2.45259
134, 3, 116, 21.7648, 2.4815
135, 3, 116, 21.7536, 2.5054
136, 3, 116, 21.7391, 2.52168
137, 3, 116, 21.7271, 2.55409
138, 3, 116, 21.717, 2.58457
139, 3, 116, 21.8097, 2.5948
140, 3, 116, 21.7429, 2.61948
141, 3, 115, 22.5061, 2.62838
142, 3, 114, 23.5061, 2.63696
143, 3, 114, 23.1325, 2.65478
144, 3, 114, 22.9796, 2.67646
145, 3, 114, 22.5646, 2.70153
146, 3, 114, 22.4116, 2.71766
147, 3, 114, 22.3997, 2.72664
148, 3, 114, 22.3896, 2.73531
149, 3, 114, 22.3742, 2.75098
150, 3, 114, 22.344, 2.76629
151, 3, 114, 22.2508, 2.79768
152, 3, 114, 22.1919, 2.81029
153, 3, 114, 22.2074, 2.84113
154, 3, 114, 22.1906, 2.85
155, 3, 114, 22.1786, 2.86717
156, 3, 114, 22.1686, 2.88398
157, 3, 114, 22.1204, 2.91291
158, 3, 113, 22.4732, 2.92177
159, 3, 113, 22.4202, 2.93066
160, 3, 113, 22.3843, 2.93997
161, 3, 113, 22.3477, 2.97156
162, 3, 113, 22.3392, 2.98044
163, 3, 113, 22.3318, 2.99757
164, 3, 113, 22.3044, 3.01271
165, 3, 113, 21.8194, 3.05745
166, 3, 113, 21.7263, 3.07638
167, 3, 113, 21.5734, 3.10322
168, 3, 113, 21.1998, 3.1159
169, 3, 113, 20.7848, 3.14305
170, 3, 113, 20.6149, 3.15921
171, 3, 113, 20.4619, 3.16826
172, 3, 113, 20.6839, 3.17706
173, 3, 113, 20.3103, 3.19449
174, 3, 113, 20.2172, 3.2049
175, 3, 112, 20.9804, 3.22797
176, 3, 112, 20.6069, 3.23682
177, 3, 112, 20.5983, 3.24569
178, 3, 112, 20.577, 3.2544
179, 3, 111, 20.7182, 3.31332
180, 3, 111, 20.5653, 3.32899
181, 3, 110, 21.5653, 3.33805
182, 3, 110, 21.4815, 3.38878
183, 3, 110, 21.3977, 3.40246
184, 3, 110, 21.2277, 3.42176
185, 3, 110, 20.8542, 3.45206
186, 3, 110, 20.824, 3.47777
187, 3, 110, 20.8071, 3.48686
188, 3, 110, 20.7858, 3.49593
189, 3, 110, 20.7727, 3.5287
190, 3, 110, 20.7982, 3.53742
191, 3, 110, 20.7769, 3.56524
192, 4, 110, 20.6838, 3.57791
193, 4, 110, 20.4793, 3.58701
194, 4, 109, 21.4793, 3.59623
195, 4, 109, 21.0642, 3.61327
196, 4, 108, 21.8274, 3.62208
197, 4, 107, 22.8274, 3.64019
198, 4, 106, 23.5906, 3.66392
199, 4, 105, 24.5906, 3.69025
200, 4, 105, 24.1756, 3.70653
201, 4, 104, 24.9388, 3.71551
202, 4, 103, 25.702, 3.72505
203, 4, 102, 26.4652, 3.73494
204, 4, 102, 26.0501, 3.76427
205, 4, 102, 25.6766, 3.79782
206, 4, 102, 25.5067, 3.80696
207, 4, 102, 25.1332, 3.82488
208, 4, 101, 25.8963, 3.85523
209, 4, 101, 25.7264, 3.8821
210, 4, 101, 25.6333, 3.90019
211, 4, 101, 25.2598, 3.91576
212, 4, 101, 25.2384, 3.92483
213, 4, 101, 25.2298, 3.95014
214, 4, 101, 25.2225, 3.97263
215, 4, 101, 25.2056, 3.99676
216, 5, 101, 25.1467, 4.00638
217, 5, 101, 25.0362, 4.03188
218, 5, 101, 24.6627, 4.04881
219, 5, 101, 24.4928, 4.0713
220, 5, 100, 25.4928, 4.12297
221, 5, 100, 25.1192, 4.13242
222, 5, 100, 24.7457, 4.14121
223, 5, 99, 25.5089, 4.1718
224, 5, 98, 26.5089, 4.18092
225, 5, 97, 27.5089, 4.20053
226, 5, 97, 27.0939, 4.20975
227, 5, 96, 27.8571, 4.22914
228, 5, 95, 28.8571, 4.24823
229, 5, 94, 29.6203, 4.26673
230, 5, 93, 30.6203, 4.28728
231, 5, 92, 31.3835, 4.30685
232, 5, 91, 32.1467, 4.32261
233, 5, 91, 31.9937, 4.34353
234, 5, 91, 31.9348, 4.39627
235, 5, 90, 32.9348, 4.40582
236, 5, 90, 32.5198, 4.4507
237, 5, 90, 32.3499, 4.46033
238, 5, 90, 32.1453, 4.46979
239, 5, 89, 32.9085, 4.50586
240, 5, 88, 33.6717, 4.51556
241, 5, 87, 34.4349, 4.52501
242, 5, 86, 35.4349, 4.55313
243, 5, 85, 36.4349, 4.56574
244, 5, 85, 36.0614, 4.57926
245, 5, 85, 36.0479, 4.59432
246, 6, 85, 36.0073, 4.60339
247, 7, 85, 35.9776, 4.62278
248, 7, 85, 35.604, 4.64544
249, 7, 85, 35.2305, 4.68475
250, 7, 85, 35.1467, 4.7034
251, 7, 85, 35.1332, 4.71256
252, 7, 85, 35.1225, 4.76966
253, 7, 85, 35.1571, 4.79093
254, 7, 85, 35.1406, 4.80033
255, 7, 85, 35.1272, 4.80939
256, 7, 85, 34.8637, 4.81865
