Seed is: 84
Number of samples is: 1000
Simulation name is: Simulation_4TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 112, 0, 6e-05
1, 0, 111, 0.763197, 0.007374
2, 0, 110, 1.7632, 0.013716
3, 0, 109, 2.52639, 0.019908
4, 0, 108, 3.28959, 0.025528
5, 0, 107, 4.05279, 0.030959
6, 0, 106, 4.81599, 0.03673
7, 0, 105, 5.57918, 0.041789
8, 0, 104, 6.57918, 0.04714
9, 0, 103, 6.34699, 0.05253
10, 0, 102, 7.34699, 0.057619
11, 0, 101, 8.11019, 0.06306
12, 0, 100, 8.87338, 0.068069
13, 0, 100, 8.45835, 0.073299
14, 0, 99, 9.80651, 0.078619
15, 0, 98, 10.5697, 0.084
16, 0, 97, 11.3329, 0.088779
17, 1, 96, 12.3329, 0.094119
18, 1, 95, 13.0961, 0.09983
19, 1, 94, 13.8593, 0.107454
20, 1, 93, 14.6225, 0.112454
21, 2, 92, 15.6225, 0.117453
22, 2, 91, 16.3857, 0.122964
23, 2, 90, 17.1489, 0.129777
24, 2, 89, 17.9121, 0.134877
25, 2, 88, 18.6753, 0.140367
26, 2, 88, 18.3017, 0.147491
27, 2, 88, 17.8867, 0.153642
28, 2, 87, 18.6499, 0.158902
29, 2, 86, 19.4131, 0.165956
30, 2, 86, 19.0396, 0.171466
31, 2, 85, 19.3923, 0.19466
32, 2, 85, 18.9074, 0.200271
33, 2, 84, 19.6706, 0.205371
34, 2, 83, 20.4338, 0.21027
35, 2, 82, 21.197, 0.21532
36, 2, 81, 20.9648, 0.220279
37, 2, 80, 21.9648, 0.225359
38, 2, 79, 22.728, 0.230509
39, 2, 78, 22.4958, 0.235969
40, 2, 78, 22.1222, 0.24143
41, 2, 78, 21.7487, 0.24683
42, 2, 78, 21.3752, 0.251889
43, 2, 78, 21.6902, 0.257099
44, 2, 78, 21.2752, 0.262349
45, 2, 78, 20.9016, 0.26786
46, 2, 78, 20.5281, 0.27304
47, 2, 78, 20.7915, 0.278149
48, 2, 78, 20.6216, 0.283249
49, 2, 78, 20.4517, 0.288329
50, 2, 78, 20.2988, 0.293789
51, 2, 78, 19.9252, 0.298669
52, 2, 77, 20.6884, 0.303558
53, 2, 76, 21.6884, 0.308497
54, 2, 75, 22.4516, 0.313337
55, 2, 74, 23.2148, 0.318136
56, 2, 73, 22.9826, 0.323205
57, 2, 72, 23.9826, 0.328385
58, 2, 72, 23.6091, 0.333375
59, 2, 71, 24.3723, 0.338254
60, 2, 70, 25.1355, 0.343374
61, 2, 69, 25.8987, 0.348824
62, 2, 68, 26.6619, 0.368371
63, 2, 67, 27.6619, 0.374142
64, 2, 67, 27.2883, 0.379733
65, 2, 67, 26.8733, 0.385063
66, 2, 67, 26.4583, 0.392076
67, 2, 66, 27.8064, 0.397807
68, 3, 66, 27.3914, 0.403338
69, 4, 66, 27.2215, 0.410391
70, 4, 66, 26.8479, 0.416653
71, 4, 66, 26.4744, 0.422114
72, 4, 66, 26.1009, 0.428225
73, 4, 66, 25.9309, 0.433325
74, 4, 66, 25.778, 0.438685
75, 4, 66, 25.4045, 0.444045
76, 4, 66, 25.0309, 0.449376
77, 4, 65, 25.7941, 0.454405
78, 4, 64, 26.5573, 0.473201
79, 4, 63, 27.3205, 0.478571
80, 4, 63, 26.947, 0.484102
81, 5, 62, 27.947, 0.489402
82, 5, 61, 28.7102, 0.508218
83, 5, 60, 29.4734, 0.513247
84, 5, 60, 29.0999, 0.518587
85, 5, 60, 28.7263, 0.524078
86, 5, 59, 30.0745, 0.529388
87, 5, 58, 31.0745, 0.534638
88, 5, 57, 32.0745, 0.539968
89, 5, 57, 31.6595, 0.544898
90, 5, 56, 32.4226, 0.550228
91, 5, 55, 33.1858, 0.555628
92, 5, 54, 32.9537, 0.560597
93, 5, 53, 33.9537, 0.565948
94, 5, 52, 34.7169, 0.571398
95, 5, 51, 35.48, 0.576678
96, 5, 50, 36.2432, 0.582259
97, 5, 49, 37.2432, 0.587779
98, 5, 48, 38.0064, 0.593079
99, 5, 48, 37.6329, 0.59859
100, 5, 47, 38.3961, 0.604
101, 5, 46, 39.1593, 0.60928
102, 5, 46, 38.7858, 0.614821
103, 5, 45, 39.1385, 0.620582
104, 5, 45, 38.6536, 0.629038
105, 5, 45, 38.449, 0.634989
106, 5, 44, 39.7972, 0.640379
107, 5, 44, 39.4237, 0.64602
108, 5, 44, 39.0086, 0.651651
109, 5, 43, 40.3568, 0.657502
110, 5, 43, 39.9833, 0.662461
111, 5, 43, 39.6097, 0.667772
112, 5, 43, 39.1248, 0.673713
113, 5, 43, 38.7097, 0.679023
114, 5, 43, 38.3362, 0.684694
115, 5, 43, 37.9627, 0.690024
116, 5, 43, 37.4777, 0.695574
117, 5, 43, 37.1042, 0.700885
118, 5, 43, 36.7306, 0.706435
119, 5, 43, 36.9525, 0.711194
120, 5, 43, 36.5375, 0.717035
121, 5, 43, 36.3676, 0.721824
122, 5, 43, 35.9941, 0.727315
123, 5, 43, 36.216, 0.732835
124, 5, 43, 36.063, 0.738596
125, 5, 42, 36.3044, 0.744177
126, 5, 42, 36.1939, 0.749347
127, 5, 42, 36.041, 0.755298
128, 6, 42, 35.6259, 0.760749
129, 7, 42, 35.456, 0.767021
130, 7, 42, 35.0825, 0.773313
131, 7, 42, 34.5975, 0.779013
132, 8, 42, 34.5044, 0.785175
133, 9, 42, 34.4455, 0.791748
134, 10, 42, 34.4049, 0.798931
135, 11, 42, 34.3751, 0.807027
136, 12, 42, 34.3524, 0.815603
137, 13, 42, 34.3345, 0.820773
138, 13, 42, 34.1815, 0.831533
139, 13, 42, 34.0286, 0.837194
140, 13, 42, 33.8757, 0.842855
141, 14, 42, 33.4606, 0.848275
142, 15, 42, 33.2907, 0.854016
143, 15, 41, 33.6435, 0.860258
144, 15, 41, 33.1585, 0.8667
145, 15, 41, 32.954, 0.872692
146, 15, 41, 32.801, 0.878152
147, 15, 41, 32.1641, 0.885446
148, 16, 41, 32.071, 0.892209
149, 17, 41, 32.0121, 0.899102
150, 18, 41, 31.9714, 0.907268
151, 19, 41, 31.9417, 0.915974
152, 19, 41, 32.1636, 0.925042
153, 20, 41, 32.1409, 0.934009
154, 21, 41, 32.123, 0.943948
155, 21, 41, 31.97, 0.955339
156, 21, 41, 31.8769, 0.9611
157, 21, 41, 31.7838, 0.966761
158, 21, 41, 31.7, 0.972392
159, 21, 41, 31.5471, 0.977742
160, 21, 40, 31.8999, 0.983773
161, 21, 40, 31.4149, 0.990406
162, 21, 40, 30.9299, 0.996097
163, 22, 40, 30.8368, 1.00322
164, 23, 40, 30.7779, 1.01011
165, 24, 40, 30.7373, 1.0176
166, 25, 40, 30.7075, 1.02604
167, 25, 40, 30.503, 1.03598
168, 25, 40, 30.2985, 1.04173
169, 26, 40, 30.2757, 1.0505
170, 27, 40, 30.2578, 1.05576
171, 27, 40, 30.1049, 1.06676
172, 27, 40, 29.7314, 1.07252
173, 27, 40, 29.3578, 1.07796
174, 28, 39, 30.3578, 1.08336
175, 28, 39, 29.9843, 1.08881
176, 28, 39, 29.6108, 1.0942
