Seed is: 45
Number of samples is: 1000
Simulation name is: Simulation_4TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 112, 0, 4e-05
1, 0, 111, 0.763197, 0.048161
2, 0, 110, 1.7632, 0.088238
3, 0, 110, 1.34816, 0.103346
4, 0, 110, 1.17823, 0.128554
5, 0, 109, 1.94143, 0.17854
6, 0, 109, 1.5679, 0.204138
7, 0, 109, 1.19436, 0.274783
8, 0, 109, 1.04143, 0.309048
9, 0, 109, 0.888499, 0.348704
10, 0, 108, 1.6517, 0.36775
11, 0, 107, 2.41489, 0.398358
12, 0, 106, 2.76766, 0.416302
13, 0, 106, 2.2827, 0.428115
14, 0, 106, 1.90917, 0.443214
15, 0, 106, 1.70463, 0.483821
16, 0, 106, 1.5517, 0.48869
17, 0, 105, 1.3195, 0.49377
18, 0, 104, 2.66766, 0.4988
19, 0, 103, 2.43547, 0.523577
20, 0, 102, 3.78363, 0.529097
21, 0, 101, 4.78363, 0.548104
22, 0, 101, 4.36859, 0.564705
23, 0, 101, 4.19867, 0.60951
24, 0, 100, 4.96187, 0.636812
25, 0, 99, 5.72506, 0.679925
26, 0, 98, 6.48826, 0.705113
27, 0, 98, 6.11473, 0.757943
28, 0, 98, 5.74119, 0.771739
29, 0, 98, 5.58826, 0.785305
30, 0, 98, 5.43533, 0.833177
31, 1, 97, 6.43533, 0.860438
32, 2, 97, 6.02029, 0.931955
33, 3, 97, 5.85036, 0.959708
34, 3, 96, 6.61356, 0.998952
35, 3, 95, 7.37676, 1.02246
36, 3, 94, 8.13996, 1.02803
37, 4, 93, 9.13996, 1.07137
38, 5, 93, 8.72492, 1.10384
39, 6, 93, 8.55499, 1.12976
40, 6, 92, 9.31819, 1.14165
41, 6, 92, 8.94466, 1.18024
42, 6, 92, 8.57112, 1.21551
43, 6, 92, 8.41819, 1.25645
44, 6, 92, 8.26526, 1.2694
45, 6, 91, 9.02846, 1.27417
46, 6, 90, 9.79165, 1.30485
47, 6, 90, 9.41812, 1.34693
48, 6, 90, 9.04459, 1.37675
49, 6, 90, 8.89165, 1.41488
50, 6, 90, 8.73872, 1.44082
51, 6, 89, 9.50192, 1.46751
52, 6, 89, 9.12838, 1.50114
53, 6, 89, 8.75485, 1.53251
54, 6, 89, 8.60192, 1.54469
55, 6, 89, 8.44899, 1.5687
56, 6, 89, 8.76402, 1.59242
57, 6, 89, 8.68022, 1.59695
58, 6, 88, 9.44342, 1.60724
59, 6, 88, 9.06989, 1.61722
60, 6, 88, 8.69635, 1.65142
61, 6, 88, 8.61256, 1.67364
62, 6, 87, 9.37575, 1.72105
63, 6, 86, 10.1389, 1.74517
64, 6, 85, 11.1389, 1.75037
65, 6, 85, 10.7239, 1.75603
