Seed is: 30
Number of samples is: 1000
Simulation name is: Simulation_4TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 112, 0, 5e-05
1, 0, 111, 0.763197, 0.010069
2, 0, 110, 1.7632, 0.017453
3, 0, 110, 1.34816, 0.03141
4, 0, 110, 1.17823, 0.036549
5, 0, 109, 1.94143, 0.057319
6, 0, 109, 1.5679, 0.066967
7, 0, 109, 1.19436, 0.090111
8, 0, 109, 1.04143, 0.095081
9, 0, 109, 0.888499, 0.109679
10, 0, 108, 1.6517, 0.114638
11, 0, 107, 2.41489, 0.119708
12, 0, 107, 2.04136, 0.124687
13, 0, 107, 1.66783, 0.129627
14, 0, 107, 1.51489, 0.144856
15, 0, 107, 1.36196, 0.149535
16, 0, 106, 2.12516, 0.154284
17, 0, 105, 2.88836, 0.179371
18, 0, 104, 3.88836, 0.184241
19, 0, 104, 3.47332, 0.190593
20, 0, 104, 3.30339, 0.195512
21, 0, 103, 4.06659, 0.200231
22, 0, 102, 4.41936, 0.20996
23, 0, 102, 3.9344, 0.238193
24, 0, 102, 3.56086, 0.247631
25, 0, 102, 3.35633, 0.268681
26, 0, 102, 3.20339, 0.290573
27, 0, 101, 3.96659, 0.298148
28, 0, 100, 4.72979, 0.302967
29, 0, 100, 4.35625, 0.309098
30, 0, 100, 3.98272, 0.313847
31, 0, 100, 3.82979, 0.318536
32, 0, 100, 3.67686, 0.330569
33, 1, 99, 4.67686, 0.335519
34, 2, 99, 4.26182, 0.356128
35, 3, 99, 4.09189, 0.365015
36, 4, 99, 3.99878, 0.370415
37, 5, 99, 3.93989, 0.395773
38, 6, 99, 3.89925, 0.408949
39, 7, 99, 3.8695, 0.419218
40, 8, 99, 3.84678, 0.434557
41, 9, 99, 3.82886, 0.458273
42, 10, 99, 3.81436, 0.465777
43, 10, 98, 4.57756, 0.470606
44, 10, 98, 4.20402, 0.475455
45, 10, 98, 3.83049, 0.502998
46, 10, 98, 3.67756, 0.514129
47, 10, 98, 3.52462, 0.524348
48, 10, 97, 4.28782, 0.535269
49, 10, 96, 4.05563, 0.540289
50, 10, 95, 5.40379, 0.552121
51, 11, 94, 6.40379, 0.560177
52, 12, 94, 5.98875, 0.576107
53, 13, 94, 5.81883, 0.612236
54, 14, 94, 5.72572, 0.618227
55, 15, 94, 5.66682, 0.625251
56, 16, 94, 5.62618, 0.630641
57, 17, 94, 5.59643, 0.644547
58, 18, 94, 5.57371, 0.65667
59, 19, 94, 5.55579, 0.666469
60, 20, 94, 5.54129, 0.679474
61, 20, 93, 6.30449, 0.685004
62, 20, 93, 5.81953, 0.690164
63, 20, 93, 5.44599, 0.710753
64, 20, 93, 5.24145, 0.715713
65, 20, 93, 5.08852, 0.726383
66, 20, 92, 5.85172, 0.731282
67, 20, 91, 5.61953, 0.736292
68, 20, 90, 6.96769, 0.741392
69, 20, 90, 6.59415, 0.747323
70, 20, 90, 6.10919, 0.773082
71, 20, 90, 5.95626, 0.777781
72, 20, 90, 6.17818, 0.78793
73, 20, 89, 5.94599, 0.79294
74, 20, 88, 7.29415, 0.79806
75, 20, 87, 7.06196, 0.806426
76, 20, 86, 8.41012, 0.811716
77, 20, 86, 7.92516, 0.823448
78, 20, 86, 7.44019, 0.841212
79, 20, 86, 7.23566, 0.846813
80, 20, 85, 8.23566, 0.851952
81, 20, 85, 7.82062, 0.859146
82, 20, 85, 7.65069, 0.874175
83, 20, 84, 8.41389, 0.879455
84, 20, 83, 9.17709, 0.884765
85, 20, 82, 9.94028, 0.890235
86, 20, 82, 9.56675, 0.902348
87, 20, 82, 9.19322, 0.907268
88, 20, 82, 9.04028, 0.912848
89, 20, 82, 8.88735, 0.943547
90, 21, 81, 9.88735, 0.956692
91, 22, 81, 9.47231, 0.972833
92, 23, 81, 9.30239, 0.983924
93, 24, 81, 9.20928, 0.996057
94, 25, 81, 9.15039, 1.00743
95, 26, 81, 9.10974, 1.0199
96, 27, 81, 9.08, 1.04011
97, 28, 81, 9.05728, 1.04921
98, 29, 81, 9.03936, 1.06428
99, 30, 81, 9.02486, 1.11502
100, 30, 80, 8.79266, 1.12049
101, 30, 79, 10.1408, 1.12552
102, 30, 78, 10.904, 1.14915
103, 30, 77, 11.6672, 1.15478
104, 30, 77, 11.2937, 1.16935
105, 30, 77, 10.9201, 1.1773
106, 30, 76, 11.1615, 1.18295
107, 30, 76, 10.957, 1.19402
108, 30, 76, 10.804, 1.19903
109, 30, 75, 11.804, 1.21698
110, 30, 75, 11.389, 1.23141
111, 30, 75, 11.2191, 1.24511
112, 30, 74, 12.2191, 1.25016
113, 30, 74, 11.804, 1.25509
114, 30, 74, 11.6341, 1.26093
115, 30, 73, 12.3973, 1.2671
116, 30, 73, 11.9123, 1.28926
117, 30, 72, 12.2651, 1.30446
118, 30, 72, 12.5801, 1.30949
119, 30, 72, 12.0021, 1.32813
120, 30, 72, 11.7975, 1.33346
121, 30, 72, 11.5341, 1.33872
122, 30, 71, 12.2973, 1.34661
123, 30, 71, 11.9238, 1.35347
124, 30, 71, 11.5502, 1.36465
125, 30, 71, 11.3973, 1.39083
126, 30, 71, 11.2444, 1.39814
127, 30, 70, 12.0076, 1.40454
128, 30, 69, 12.7708, 1.4098
129, 30, 68, 13.534, 1.41558
130, 30, 67, 13.3018, 1.42128
131, 30, 66, 14.6499, 1.43822
132, 30, 65, 15.6499, 1.44376
133, 30, 65, 15.2349, 1.45846
134, 30, 65, 15.065, 1.46386
135, 30, 64, 15.8282, 1.49467
136, 30, 64, 15.3432, 1.50721
137, 30, 64, 14.9697, 1.51256
138, 30, 64, 14.7651, 1.51775
139, 30, 64, 14.6122, 1.52289
140, 30, 63, 15.3754, 1.52797
141, 30, 62, 15.7282, 1.53402
142, 30, 62, 15.2432, 1.54444
143, 30, 62, 14.8697, 1.56338
144, 30, 62, 14.6651, 1.60242
145, 30, 62, 14.5122, 1.61647
146, 30, 61, 15.2754, 1.63424
147, 30, 61, 14.9018, 1.65197
148, 30, 61, 14.5283, 1.65704
149, 30, 61, 14.3754, 1.66294
150, 30, 60, 14.6167, 1.69996
151, 30, 60, 14.4122, 1.71621
152, 30, 59, 15.4122, 1.73056
153, 30, 59, 14.9971, 1.73593
154, 30, 59, 14.8272, 1.74112
155, 30, 58, 15.5904, 1.74626
156, 30, 58, 15.2169, 1.75245
157, 30, 57, 15.5697, 1.75778
158, 30, 57, 15.0847, 1.76326
159, 30, 57, 14.9318, 1.78619
160, 30, 57, 14.7272, 1.80863
161, 30, 57, 14.6434, 1.81397
162, 30, 56, 15.6434, 1.82244
163, 30, 56, 15.2284, 1.84031
164, 30, 56, 15.0585, 1.85497
165, 30, 56, 14.9747, 1.86677
166, 30, 55, 15.7379, 1.891
167, 30, 54, 16.5011, 1.90078
168, 30, 53, 17.2643, 1.91335
169, 30, 52, 18.2643, 1.93495
170, 30, 52, 17.8492, 1.94024
171, 30, 52, 17.6793, 1.95329
172, 30, 51, 18.4425, 1.9644
173, 30, 51, 18.069, 1.97974
174, 30, 51, 17.6954, 1.9854
175, 30, 50, 17.9368, 1.9912
176, 30, 50, 17.7322, 1.99668
177, 30, 50, 17.5793, 2.00202
178, 30, 49, 18.3425, 2.00725
179, 30, 49, 17.969, 2.01247
180, 30, 48, 18.3217, 2.01813
181, 30, 48, 17.8368, 2.02475
182, 30, 48, 17.6838, 2.0365
183, 30, 48, 17.4793, 2.07999
184, 30, 47, 18.2425, 2.09405
185, 30, 47, 17.869, 2.1048
186, 30, 47, 17.4954, 2.12044
187, 30, 47, 17.3425, 2.1412
188, 30, 47, 17.1896, 2.1493
189, 31, 46, 18.1896, 2.15661
190, 32, 46, 17.7745, 2.1628
191, 33, 46, 17.6046, 2.17017
192, 34, 46, 17.5115, 2.17566
193, 35, 46, 17.4526, 2.1825
194, 36, 46, 17.412, 2.18932
195, 37, 46, 17.3822, 2.19521
196, 38, 46, 17.3595, 2.20228
197, 39, 46, 17.3416, 2.21358
198, 40, 46, 17.3271, 2.23332
199, 41, 46, 17.3151, 2.24002
200, 41, 46, 17.4781, 2.25863
201, 41, 45, 17.6679, 2.27024
202, 41, 45, 17.5574, 2.28223
203, 41, 45, 17.4736, 2.28759
204, 41, 45, 17.3631, 2.29327
205, 41, 45, 17.27, 2.31
206, 41, 45, 17.1862, 2.32231
207, 42, 45, 17.1742, 2.33065
208, 42, 45, 17.0637, 2.33595
209, 42, 44, 18.0637, 2.34105
210, 42, 44, 17.6486, 2.36526
211, 42, 44, 17.4787, 2.37044
212, 42, 43, 18.2419, 2.37558
213, 42, 42, 18.0097, 2.38105
214, 42, 41, 19.3579, 2.38687
215, 42, 41, 18.9843, 2.39229
216, 42, 41, 18.4994, 2.39782
217, 42, 41, 18.3465, 2.42899
218, 42, 41, 18.1419, 2.4581
219, 42, 41, 18.0488, 2.46364
220, 42, 41, 17.9557, 2.47046
221, 42, 41, 17.8719, 2.4863
222, 42, 40, 18.6351, 2.49874
223, 42, 39, 19.3983, 2.5041
224, 42, 39, 19.0248, 2.50939
225, 42, 39, 18.6512, 2.51909
226, 42, 39, 18.4983, 2.53606
227, 42, 39, 18.3454, 2.54361
228, 42, 39, 18.2616, 2.54881
229, 42, 38, 19.0248, 2.56022
230, 42, 37, 19.788, 2.58602
231, 42, 37, 19.4144, 2.59169
232, 42, 37, 19.0409, 2.6123
233, 42, 37, 18.888, 2.61825
234, 42, 37, 18.735, 2.62427
235, 43, 37, 18.7231, 2.64375
236, 43, 37, 18.6393, 2.64932
237, 43, 36, 19.6393, 2.65497
238, 43, 36, 19.2242, 2.66047
239, 43, 36, 19.0543, 2.66863
240, 43, 36, 18.9612, 2.6799
241, 43, 36, 18.8681, 2.68537
242, 43, 36, 18.7843, 2.6909
243, 43, 35, 19.5475, 2.69742
244, 43, 34, 20.3107, 2.70279
245, 43, 34, 19.9371, 2.70841
246, 43, 33, 20.2899, 2.71445
247, 43, 33, 19.8049, 2.71994
248, 43, 33, 19.652, 2.72594
249, 43, 33, 19.4475, 2.73184
250, 43, 33, 19.3637, 2.73706
251, 43, 32, 20.1269, 2.74234
252, 43, 32, 19.7533, 2.76875
253, 43, 31, 20.1061, 2.77439
254, 43, 31, 19.6211, 2.78187
255, 43, 31, 19.4682, 2.79875
256, 43, 31, 19.2637, 2.81913
257, 43, 30, 20.2637, 2.82681
258, 43, 30, 19.8486, 2.83243
259, 43, 30, 19.6787, 2.83798
260, 43, 30, 19.5949, 2.8433
261, 43, 30, 19.4844, 2.85232
262, 44, 30, 19.4744, 2.86374
263, 44, 30, 19.3906, 2.88161
264, 44, 30, 19.3068, 2.88705
265, 44, 30, 19.0433, 2.89252
266, 44, 30, 18.9328, 2.91663
267, 44, 30, 18.8397, 2.92856
268, 44, 30, 18.7292, 2.94901
269, 44, 30, 18.6454, 2.95596
270, 44, 30, 18.5924, 2.96153
271, 44, 30, 18.5394, 2.97308
272, 44, 30, 18.4556, 2.98496
273, 45, 30, 18.4456, 3.01195
274, 45, 30, 18.3351, 3.02218
275, 45, 30, 18.242, 3.03716
276, 45, 30, 18.1488, 3.0555
277, 45, 30, 18.0958, 3.06499
278, 46, 30, 18.0873, 3.07643
279, 46, 30, 18.0199, 3.082
280, 46, 30, 17.9361, 3.0941
281, 46, 30, 17.785, 3.09953
282, 46, 30, 17.7261, 3.11958
283, 46, 30, 17.6731, 3.12523
284, 46, 30, 17.5626, 3.13083
285, 46, 30, 17.4788, 3.15812
286, 46, 30, 17.3857, 3.16854
287, 46, 30, 17.3019, 3.17386
288, 46, 30, 17.2181, 3.1945
289, 46, 30, 17.1076, 3.21542
290, 46, 30, 16.9971, 3.22115
291, 46, 30, 16.9133, 3.22676
292, 47, 30, 16.9013, 3.23697
293, 47, 30, 16.8175, 3.24319
294, 47, 29, 17.0073, 3.24924
295, 47, 29, 16.8968, 3.25574
296, 47, 29, 16.813, 3.28662
297, 47, 29, 16.7292, 3.2934
298, 47, 29, 16.6454, 3.29895
299, 47, 29, 16.5349, 3.30446
300, 47, 29, 16.4511, 3.31414
301, 47, 29, 16.3673, 3.32023
302, 48, 29, 16.3572, 3.34022
303, 48, 29, 16.2467, 3.34599
304, 48, 29, 16.1536, 3.35642
305, 48, 29, 16.0605, 3.36205
306, 48, 29, 15.9094, 3.37128
307, 48, 29, 15.8256, 3.42042
308, 48, 29, 16.0475, 3.42626
309, 48, 29, 15.9544, 3.4375
310, 48, 29, 15.9014, 3.45232
311, 48, 29, 16.0644, 3.46359
312, 48, 29, 16.0055, 3.47129
313, 48, 29, 15.9466, 3.48744
314, 48, 29, 15.7955, 3.49324
315, 48, 29, 15.7425, 3.50027
316, 49, 29, 15.7339, 3.51452
317, 49, 29, 15.6809, 3.55221
318, 49, 29, 15.4175, 3.55813
319, 49, 29, 15.3645, 3.56465
320, 49, 29, 15.2971, 3.58761
321, 49, 29, 15.2441, 3.59331
322, 49, 29, 15.1768, 3.6057
323, 49, 29, 15.1238, 3.61693
324, 50, 29, 15.1137, 3.63035
325, 50, 29, 15.0299, 3.636
326, 50, 29, 14.9769, 3.64172
327, 50, 29, 14.9239, 3.67301
328, 50, 29, 14.8401, 3.67866
329, 50, 29, 14.7871, 3.68398
330, 50, 28, 14.9358, 3.68985
331, 50, 28, 15.0285, 3.69569
332, 50, 28, 14.9754, 3.70686
333, 50, 28, 14.9081, 3.71952
334, 50, 28, 14.8551, 3.75035
335, 50, 28, 14.7878, 3.762
336, 50, 28, 14.704, 3.7674
337, 51, 28, 14.6954, 3.78736
338, 52, 28, 14.688, 3.81666
339, 52, 28, 14.635, 3.82678
340, 52, 28, 14.582, 3.84045
341, 52, 28, 14.5231, 3.84664
342, 52, 28, 14.4642, 3.85337
343, 52, 28, 14.3969, 3.87686
344, 52, 28, 14.338, 3.90659
345, 52, 28, 14.285, 3.91201
346, 52, 28, 14.232, 3.92325
347, 52, 28, 14.1646, 3.95608
348, 52, 28, 14.0675, 3.97177
349, 53, 28, 14.0602, 3.9831
350, 53, 28, 14.0072, 4.00963
351, 53, 28, 13.9398, 4.01545
352, 53, 28, 14.0622, 4.02192
353, 53, 28, 13.9111, 4.04159
354, 53, 28, 13.8437, 4.04741
355, 53, 28, 13.7907, 4.06357
356, 53, 28, 13.7234, 4.06969
357, 53, 28, 13.6868, 4.07548
358, 54, 28, 13.6794, 4.08893
359, 54, 28, 13.6353, 4.09526
360, 54, 28, 13.5823, 4.1095
361, 55, 28, 13.5759, 4.13458
362, 55, 28, 13.4788, 4.14123
363, 55, 28, 13.4115, 4.15984
364, 55, 28, 13.3526, 4.18873
365, 55, 28, 13.2937, 4.21929
366, 55, 28, 13.2571, 4.25996
367, 55, 28, 13.2205, 4.27215
368, 55, 28, 13.1532, 4.29939
369, 56, 28, 13.1446, 4.30742
370, 57, 28, 13.1372, 4.31601
371, 57, 28, 13.0842, 4.32283
372, 57, 28, 13.0312, 4.33302
373, 57, 28, 12.9947, 4.34251
374, 57, 28, 12.9506, 4.35655
375, 57, 28, 12.914, 4.36435
376, 57, 28, 12.8035, 4.36992
377, 57, 28, 12.7505, 4.37538
378, 57, 28, 12.6916, 4.41147
379, 57, 28, 12.655, 4.41718
380, 57, 27, 12.8037, 4.4345
381, 57, 27, 12.7596, 4.44027
382, 57, 27, 12.7066, 4.45458
383, 58, 27, 12.7002, 4.4895
384, 58, 27, 12.6472, 4.50858
385, 58, 27, 12.5799, 4.52687
386, 58, 27, 12.521, 4.54088
387, 58, 27, 12.4621, 4.56466
388, 58, 27, 12.4091, 4.57191
389, 58, 27, 12.365, 4.57799
390, 58, 27, 12.3284, 4.58597
391, 58, 27, 12.2878, 4.61204
392, 58, 27, 12.2437, 4.63165
393, 58, 27, 12.203, 4.63705
394, 58, 27, 12.1624, 4.64263
395, 58, 27, 12.1258, 4.66158
396, 59, 27, 12.1194, 4.67068
397, 59, 27, 12.0828, 4.67741
398, 59, 27, 12.0462, 4.68744
399, 59, 27, 11.9932, 4.69303
400, 59, 27, 11.9566, 4.69845
401, 59, 27, 12.0493, 4.72067
402, 59, 27, 12.0052, 4.7516
403, 59, 27, 11.9784, 4.75734
404, 59, 27, 11.9419, 4.76284
405, 59, 27, 11.9053, 4.77162
406, 59, 27, 11.8612, 4.77777
407, 59, 26, 12.0099, 4.79903
408, 59, 26, 11.9658, 4.82794
409, 59, 26, 11.9252, 4.83436
410, 59, 26, 11.8845, 4.85316
411, 59, 26, 11.8404, 4.8663
412, 59, 26, 11.7998, 4.87904
413, 59, 25, 11.9485, 4.89013
414, 59, 25, 11.9044, 4.89635
415, 59, 25, 11.8603, 4.90471
416, 59, 25, 11.7632, 4.93036
417, 59, 25, 11.7043, 4.96045
418, 59, 25, 11.6677, 4.97299
419, 59, 25, 11.5707, 4.97877
420, 59, 25, 11.5341, 4.98499
421, 60, 25, 11.5277, 5.00558
422, 60, 25, 11.4911, 5.01917
423, 60, 25, 11.3399, 5.0249
424, 60, 25, 11.2731, 5.03111
425, 60, 25, 11.2325, 5.0375
426, 60, 25, 11.2057, 5.06283
427, 60, 25, 11.1651, 5.07564
428, 60, 25, 11.1244, 5.08988
429, 60, 25, 11.0977, 5.1228
430, 61, 25, 11.092, 5.14658
431, 61, 25, 11.0252, 5.16187
432, 61, 25, 10.9846, 5.18264
433, 61, 25, 10.9405, 5.19128
434, 61, 25, 10.8998, 5.21837
435, 61, 25, 10.8592, 5.2611
436, 61, 25, 10.8324, 5.29391
437, 61, 25, 10.7958, 5.31017
438, 61, 25, 10.7518, 5.31664
439, 61, 25, 10.685, 5.33019
440, 61, 25, 10.6582, 5.37212
441, 62, 25, 10.6525, 5.38043
442, 62, 25, 10.6084, 5.38631
443, 62, 25, 10.5416, 5.39255
444, 62, 25, 10.5051, 5.39837
445, 62, 25, 10.4685, 5.40385
446, 62, 24, 10.6097, 5.40977
447, 62, 24, 10.5794, 5.42365
448, 62, 24, 10.5497, 5.45605
449, 62, 24, 10.4526, 5.47269
450, 62, 24, 10.3555, 5.48362
451, 62, 24, 10.3114, 5.49352
452, 62, 24, 10.2847, 5.49904
453, 62, 24, 10.3961, 5.50838
454, 62, 24, 10.3595, 5.53065
455, 62, 24, 10.3327, 5.53688
456, 62, 24, 10.3025, 5.57262
457, 62, 24, 10.2357, 5.59828
458, 63, 24, 10.2301, 5.62219
459, 63, 23, 10.3712, 5.643
460, 63, 23, 10.341, 5.67037
461, 63, 23, 10.3142, 5.70011
462, 63, 22, 10.4629, 5.72053
463, 63, 22, 10.4189, 5.73367
464, 63, 22, 10.3921, 5.75204
465, 63, 22, 10.3619, 5.78464
466, 63, 22, 10.3351, 5.81284
467, 63, 22, 10.3049, 5.8289
468, 63, 22, 10.2683, 5.83529
469, 63, 22, 10.238, 5.84138
470, 63, 22, 10.1899, 5.84762
471, 63, 22, 10.1694, 5.85512
472, 63, 22, 10.1397, 5.86352
473, 63, 22, 10.11, 5.88117
474, 63, 22, 10.0895, 5.88692
475, 64, 22, 10.0845, 5.91273
476, 64, 22, 10.0364, 5.92537
477, 64, 22, 10.0066, 5.9508
478, 64, 22, 9.97638, 5.9566
479, 64, 22, 9.9398, 5.97658
480, 65, 22, 9.93415, 5.98564
481, 65, 22, 9.89758, 6.01238
482, 65, 22, 9.86735, 6.02074
483, 65, 22, 9.84058, 6.03008
484, 66, 22, 9.83612, 6.06218
485, 66, 22, 9.90604, 6.07843
486, 66, 22, 9.88466, 6.09398
487, 66, 22, 9.81786, 6.10134
488, 66, 22, 9.79108, 6.11329
489, 66, 22, 9.77064, 6.12923
490, 66, 22, 9.74041, 6.16343
491, 66, 22, 9.71018, 6.17661
492, 66, 22, 9.6888, 6.20043
493, 66, 22, 9.66835, 6.20617
494, 66, 21, 9.80954, 6.21553
495, 66, 21, 9.77931, 6.23491
496, 66, 21, 9.74909, 6.24822
497, 66, 21, 9.71934, 6.26088
498, 66, 21, 9.68959, 6.29018
499, 66, 21, 9.66914, 6.33395
500, 66, 21, 9.6487, 6.34007
501, 66, 21, 9.56397, 6.35218
502, 66, 21, 9.52739, 6.36703
503, 66, 21, 9.49764, 6.41843
504, 66, 21, 9.46741, 6.4328
505, 66, 21, 9.44064, 6.46091
506, 67, 21, 9.43564, 6.49207
507, 67, 21, 9.40541, 6.52669
508, 67, 21, 9.37864, 6.53277
509, 67, 21, 9.35187, 6.53925
510, 67, 21, 9.30372, 6.57341
511, 68, 21, 9.29926, 6.58924
512, 68, 21, 9.26903, 6.59583
513, 68, 20, 9.40583, 6.60286
514, 68, 20, 9.38538, 6.63204
515, 68, 20, 9.35861, 6.647
516, 69, 20, 9.35361, 6.67171
517, 69, 20, 9.32684, 6.67739
518, 69, 20, 9.30546, 6.69152
519, 69, 20, 9.27869, 6.69773
520, 70, 20, 9.27469, 6.74674
521, 70, 20, 9.23881, 6.77462
522, 70, 20, 9.21743, 6.80817
523, 70, 20, 9.19066, 6.82929
524, 71, 20, 9.18566, 6.84433
525, 72, 20, 9.1812, 6.8658
526, 72, 20, 9.15982, 6.87281
527, 72, 20, 9.13937, 6.89688
