Seed is: 31
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 9e-05
1, 0, 255, -0.232193, 0.133053
2, 0, 254, 1.11597, 0.171817
3, 0, 253, 1.87916, 0.193528
4, 0, 253, 1.3942, 0.244315
5, 0, 253, 1.02067, 0.26809
6, 0, 253, 0.81613, 0.35183
7, 0, 253, 0.663197, 0.401073
8, 0, 252, 1.42639, 0.441871
9, 0, 251, 2.42639, 0.523497
10, 0, 250, 3.18959, 0.56701
11, 0, 250, 2.81606, 0.629799
12, 0, 250, 2.44252, 0.673633
13, 0, 249, 2.68387, 0.71443
14, 0, 249, 2.47933, 0.759636
15, 0, 249, 2.06429, 0.831373
16, 0, 249, 1.91136, 0.897519
17, 0, 248, 2.91136, 0.937235
18, 0, 248, 2.49632, 0.994654
19, 0, 248, 2.32639, 1.05456
20, 0, 248, 2.2159, 1.09696
21, 0, 247, 2.97909, 1.13642
22, 0, 246, 2.7469, 1.18811
23, 0, 245, 4.09506, 1.26492
24, 0, 245, 3.72153, 1.29654
25, 0, 245, 3.23656, 1.32065
26, 0, 245, 3.08363, 1.35472
27, 0, 245, 2.87909, 1.38611
28, 0, 244, 3.64229, 1.4377
29, 0, 243, 4.64229, 1.50118
30, 0, 243, 4.22725, 1.55825
31, 0, 243, 4.05733, 1.5907
32, 0, 242, 4.82052, 1.69638
33, 0, 241, 5.58372, 1.728
34, 0, 241, 5.21019, 1.78682
35, 0, 240, 5.56296, 1.86608
36, 0, 240, 5.07799, 1.89005
37, 0, 240, 4.92506, 1.97805
38, 0, 240, 4.72052, 2.00177
39, 0, 239, 5.48372, 2.07818
40, 0, 238, 6.48372, 2.1385
41, 0, 238, 6.06868, 2.21372
42, 0, 238, 5.89876, 2.26448
43, 0, 237, 5.66657, 2.39309
44, 0, 236, 7.01473, 2.44286
45, 0, 235, 7.77792, 2.50248
46, 0, 235, 7.68481, 2.52805
47, 0, 235, 7.19985, 2.5622
48, 0, 235, 6.82632, 2.63412
49, 0, 235, 6.62178, 2.68779
50, 0, 235, 6.46885, 2.73024
51, 0, 234, 7.23204, 2.82965
52, 0, 233, 8.23204, 2.88181
