Seed is: 56
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 6e-05
1, 0, 255, 1, 0.025509
2, 0, 255, 0.584963, 0.056177
3, 0, 255, 0.415037, 0.086064
4, 0, 254, 1.17823, 0.109749
5, 0, 253, 1.94143, 0.125509
6, 0, 253, 1.5679, 0.142442
7, 0, 253, 1.19436, 0.160075
8, 0, 253, 1.04143, 0.192717
9, 0, 253, 0.888499, 0.224318
10, 0, 252, 1.6517, 0.256749
11, 0, 251, 2.6517, 0.271367
12, 0, 251, 2.23666, 0.293139
13, 0, 251, 2.06673, 0.310151
14, 0, 250, 1.83454, 0.338224
15, 0, 249, 3.1827, 0.370015
16, 0, 248, 3.9459, 0.385174
17, 0, 247, 4.7091, 0.400082
18, 0, 246, 5.7091, 0.4355
19, 0, 246, 5.29406, 0.450949
20, 0, 246, 5.12413, 0.465547
21, 0, 245, 5.88733, 0.480235
22, 0, 244, 6.65053, 0.494823
23, 0, 244, 6.27699, 0.528136
24, 0, 244, 5.90346, 0.553535
25, 0, 244, 5.75053, 0.587078
26, 0, 244, 5.59759, 0.60358
27, 0, 243, 5.3654, 0.62458
28, 0, 242, 6.71356, 0.639588
29, 0, 241, 7.71356, 0.660689
30, 0, 241, 7.29852, 0.676148
31, 0, 241, 7.1286, 0.711465
32, 0, 240, 6.89641, 0.744138
33, 0, 240, 6.8549, 0.777742
34, 0, 239, 8.5596, 0.810915
35, 0, 238, 9.3228, 0.839589
36, 0, 237, 10.086, 0.854868
37, 0, 236, 11.086, 0.869917
38, 0, 236, 10.671, 0.884575
39, 0, 236, 10.501, 0.907829
40, 0, 235, 10.2688, 0.953075
41, 0, 234, 11.617, 0.972613
42, 0, 233, 12.3802, 0.987361
43, 0, 232, 13.1434, 1.01919
44, 0, 231, 14.1434, 1.06246
45, 0, 231, 13.7284, 1.0808
46, 0, 231, 13.5584, 1.10105
47, 0, 230, 14.3216, 1.12267
48, 0, 229, 15.0848, 1.13814
49, 0, 229, 14.7113, 1.15327
50, 0, 229, 14.3378, 1.1763
51, 0, 229, 14.1848, 1.20013
