Seed is: 19
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 7e-05
1, 0, 255, 1, 0.015599
2, 0, 254, 1.7632, 0.043733
3, 0, 253, 2.52639, 0.058661
4, 0, 252, 3.28959, 0.088378
5, 0, 251, 4.28959, 0.109578
6, 0, 250, 5.05279, 0.127072
7, 0, 249, 5.81599, 0.14174
8, 0, 248, 6.57918, 0.156568
9, 0, 247, 7.57918, 0.171877
10, 0, 246, 7.34699, 0.218145
11, 0, 245, 8.11019, 0.236099
12, 0, 244, 9.11019, 0.254564
13, 0, 243, 9.87338, 0.28397
14, 0, 242, 10.6366, 0.305972
15, 0, 241, 11.3998, 0.321602
16, 0, 240, 12.3998, 0.33638
17, 0, 239, 13.163, 0.352691
18, 0, 238, 13.9262, 0.376687
19, 0, 237, 14.6894, 0.394411
20, 0, 236, 15.6894, 0.410752
21, 0, 235, 16.4526, 0.426081
22, 0, 234, 17.2158, 0.44116
23, 0, 233, 18.2158, 0.456489
24, 0, 232, 18.979, 0.473201
25, 0, 231, 19.7422, 0.48846
26, 0, 230, 20.5054, 0.50406
27, 0, 229, 21.2686, 0.52014
28, 0, 228, 22.0318, 0.538134
29, 0, 227, 23.0318, 0.558734
30, 0, 227, 22.6167, 0.580084
31, 0, 226, 22.9695, 0.601595
32, 0, 226, 22.4845, 0.639477
33, 0, 225, 23.2477, 0.678131
34, 0, 224, 24.0109, 0.708539
35, 0, 223, 23.7787, 0.723988
36, 0, 222, 24.7787, 0.744307
37, 0, 222, 24.4052, 0.760097
38, 0, 222, 24.0317, 0.776168
39, 0, 222, 23.6166, 0.799883
40, 0, 222, 23.2431, 0.818789
41, 0, 221, 24.0063, 0.837394
42, 0, 220, 24.7695, 0.852764
43, 0, 219, 25.5327, 0.868223
44, 0, 218, 26.2959, 0.888472
45, 0, 218, 25.8808, 0.91409
46, 0, 218, 25.8393, 0.948085
47, 0, 218, 25.4658, 0.96657
48, 0, 218, 25.0508, 0.996387
49, 0, 218, 24.6772, 1.03546
50, 0, 217, 25.4404, 1.05671
51, 0, 216, 26.2036, 1.07244
52, 0, 215, 26.9668, 1.08812
53, 0, 214, 27.73, 1.1039
54, 0, 213, 28.4932, 1.11972
55, 0, 212, 29.2564, 1.13882
56, 0, 211, 30.0196, 1.15864
57, 0, 210, 30.7828, 1.18258
58, 0, 209, 31.7828, 1.19849
59, 0, 208, 32.546, 1.21886
60, 0, 207, 33.546, 1.23595
61, 0, 207, 33.1725, 1.25224
62, 0, 207, 32.7574, 1.27007
63, 0, 207, 32.3839, 1.29359
64, 0, 207, 32.0104, 1.31974
65, 0, 206, 32.7736, 1.34277
66, 0, 205, 33.5368, 1.35901
67, 0, 204, 34.3, 1.38973
68, 0, 203, 35.0632, 1.43516
69, 0, 202, 35.8263, 1.4709
70, 0, 201, 36.8263, 1.48732
71, 0, 200, 36.5942, 1.50774
72, 0, 200, 36.2206, 1.53181
73, 0, 200, 35.8471, 1.54815
74, 0, 200, 35.4321, 1.56455
75, 0, 200, 35.0585, 1.58094
76, 0, 200, 34.685, 1.60047
77, 0, 200, 34.3114, 1.6172
78, 0, 199, 35.0746, 1.63352
79, 0, 198, 35.8378, 1.65664
80, 0, 197, 36.8378, 1.67504
81, 0, 196, 37.601, 1.70619
82, 0, 195, 37.3688, 1.73198
83, 0, 194, 38.132, 1.75068
84, 0, 194, 37.7585, 1.77548
85, 0, 194, 37.3435, 1.80912
86, 0, 193, 38.6916, 1.83405
87, 0, 192, 39.4548, 1.87825
88, 0, 191, 40.218, 1.89517
89, 0, 190, 41.218, 1.91864
90, 0, 189, 42.218, 1.93537
91, 0, 188, 43.218, 1.9648
92, 0, 187, 42.9858, 1.98149
93, 0, 187, 42.5708, 2.01256
94, 0, 187, 42.1558, 2.04315
95, 0, 187, 41.7407, 2.05997
96, 0, 186, 43.0889, 2.09415
97, 0, 185, 43.8521, 2.11073
98, 0, 184, 44.8521, 2.12714
99, 0, 183, 45.6153, 2.1456
100, 0, 182, 46.3785, 2.16916
101, 0, 181, 47.1417, 2.18659
102, 0, 180, 47.9049, 2.21718
103, 0, 180, 47.4199, 2.23734
104, 0, 179, 48.1831, 2.25385
105, 0, 178, 48.9463, 2.27033
106, 0, 177, 49.7095, 2.29402
107, 0, 176, 50.4727, 2.31498
108, 0, 175, 51.2359, 2.33157
109, 0, 174, 51.9991, 2.36154
110, 0, 174, 51.6256, 2.39714
111, 0, 173, 52.3888, 2.41962
112, 0, 172, 53.152, 2.43718
113, 0, 172, 52.7784, 2.46841
114, 0, 172, 52.4049, 2.48538
115, 0, 172, 51.9898, 2.504
116, 0, 172, 51.6163, 2.53357
117, 0, 172, 51.2013, 2.55063
118, 0, 172, 51.0483, 2.57078
119, 0, 172, 50.6748, 2.5877
120, 0, 172, 50.2598, 2.60483
121, 0, 171, 50.6125, 2.62172
122, 0, 171, 50.1276, 2.63894
123, 0, 170, 50.4803, 2.65786
124, 0, 170, 49.9954, 2.67502
125, 0, 170, 49.6219, 2.69926
126, 0, 170, 49.4173, 2.71733
127, 0, 170, 49.0438, 2.75277
128, 0, 170, 48.6702, 2.77242
129, 0, 170, 48.2967, 2.78978
130, 0, 170, 48.1268, 2.80654
131, 0, 169, 49.8315, 2.82634
132, 0, 168, 50.5947, 2.84314
133, 0, 167, 51.5947, 2.86189
134, 0, 167, 51.1796, 2.89189
135, 0, 167, 50.8061, 2.90937
136, 0, 167, 50.4326, 2.92647
137, 0, 166, 51.1958, 2.95725
138, 0, 165, 51.959, 2.98253
139, 0, 164, 52.7222, 3.00185
140, 0, 163, 53.4854, 3.01884
141, 0, 163, 53.2808, 3.04045
142, 0, 163, 52.9073, 3.05763
143, 0, 163, 52.7374, 3.0785
144, 0, 163, 52.5674, 3.0961
145, 0, 163, 52.3975, 3.11322
146, 0, 163, 52.5606, 3.13057
147, 0, 163, 52.4674, 3.14786
148, 0, 163, 52.3743, 3.16774
149, 0, 163, 52.2812, 3.18528
150, 0, 163, 52.1301, 3.20858
151, 0, 163, 51.7566, 3.22578
152, 0, 162, 52.5198, 3.24391
153, 0, 161, 53.2829, 3.26064
154, 0, 160, 54.0461, 3.27788
155, 0, 159, 54.8093, 3.30538
156, 0, 158, 55.5725, 3.33389
157, 0, 157, 56.3357, 3.35285
158, 0, 157, 55.9622, 3.37028
159, 0, 156, 56.7254, 3.38903
160, 0, 156, 56.3519, 3.40672
161, 0, 155, 57.1151, 3.424
162, 0, 155, 56.7, 3.44301
163, 0, 155, 56.5301, 3.4695
164, 0, 155, 56.3772, 3.49357
165, 0, 155, 56.2242, 3.51151
166, 0, 155, 56.0713, 3.5305
167, 0, 155, 55.6978, 3.55621
168, 0, 154, 56.461, 3.57355
169, 0, 153, 57.2242, 3.6016
170, 0, 152, 57.5769, 3.61919
171, 0, 152, 57.092, 3.65147
172, 0, 152, 56.922, 3.66906
173, 0, 152, 56.7691, 3.69306
174, 0, 152, 56.3956, 3.71084
175, 0, 152, 56.022, 3.7334
176, 0, 152, 55.9632, 3.76528
177, 0, 152, 55.9043, 3.78421
178, 0, 152, 55.8454, 3.80211
179, 0, 152, 55.7483, 3.8199
180, 0, 152, 55.5953, 3.83867
181, 0, 151, 56.3585, 3.85598
182, 0, 150, 57.1217, 3.87312
183, 0, 149, 56.8895, 3.90755
184, 0, 148, 57.8895, 3.95247
185, 0, 147, 58.6527, 3.97176
186, 0, 146, 59.6527, 4.00352
187, 0, 145, 60.4159, 4.02563
188, 0, 144, 61.1791, 4.04544
189, 0, 143, 61.9423, 4.06284
190, 0, 142, 62.9423, 4.0801
191, 0, 141, 63.7055, 4.10214
192, 0, 140, 64.4687, 4.12377
