Seed is: 76
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 7e-05
1, 0, 255, 1, 0.015369
2, 0, 254, 1.7632, 0.04753
3, 0, 253, 2.7632, 0.062619
4, 0, 252, 2.531, 0.076966
5, 0, 251, 3.2942, 0.091414
6, 0, 250, 4.0574, 0.105891
7, 0, 249, 4.8206, 0.120589
8, 0, 248, 5.58379, 0.135989
9, 0, 247, 5.3516, 0.150917
10, 0, 246, 5.11941, 0.165575
11, 0, 246, 5.0779, 0.186825
12, 0, 245, 6.7826, 0.201333
13, 0, 244, 7.7826, 0.216001
14, 0, 243, 8.7826, 0.231971
15, 0, 243, 8.36757, 0.259203
16, 0, 243, 8.19764, 0.273891
17, 0, 242, 8.96084, 0.28888
18, 0, 241, 9.72404, 0.303437
19, 0, 240, 10.4872, 0.318346
20, 0, 239, 11.2504, 0.333134
21, 0, 238, 12.2504, 0.347992
22, 0, 237, 13.2504, 0.36279
23, 0, 237, 12.8354, 0.377849
24, 0, 236, 13.5986, 0.411303
25, 0, 235, 14.9468, 0.443835
26, 0, 235, 14.7768, 0.461689
27, 0, 235, 14.3618, 0.477108
28, 0, 235, 14.2687, 0.493479
29, 0, 234, 15.2687, 0.508438
30, 0, 234, 15.2098, 0.523016
31, 0, 234, 15.0399, 0.545969
32, 0, 234, 14.6663, 0.560687
33, 0, 234, 14.2928, 0.581998
34, 0, 233, 15.056, 0.596997
35, 0, 232, 15.8192, 0.612085
36, 0, 231, 16.172, 0.627204
37, 0, 230, 16.9352, 0.642203
38, 0, 229, 17.6984, 0.656981
39, 0, 228, 17.4662, 0.67252
40, 0, 227, 18.2294, 0.687769
41, 0, 226, 18.9926, 0.702728
42, 0, 225, 19.7557, 0.71957
43, 0, 224, 20.5189, 0.753134
44, 0, 223, 21.2821, 0.768213
45, 0, 222, 22.0453, 0.783662
46, 0, 221, 23.0453, 0.798951
47, 0, 221, 22.6303, 0.81434
48, 0, 220, 23.3935, 0.82966
49, 0, 219, 24.1567, 0.861039
50, 0, 218, 24.9199, 0.876449
51, 0, 217, 25.6831, 0.893491
52, 0, 217, 25.3096, 0.90867
53, 0, 216, 26.0728, 0.92418
54, 0, 215, 26.836, 0.939379
55, 0, 214, 27.5992, 0.956862
56, 0, 213, 28.3623, 0.972071
57, 0, 212, 29.1255, 0.98756
58, 0, 212, 29.0849, 1.0031
59, 0, 212, 29.0552, 1.02229
60, 0, 212, 28.9022, 1.03907
61, 0, 212, 28.5287, 1.05684
62, 0, 212, 28.1552, 1.07239
63, 0, 211, 28.9184, 1.09509
64, 0, 210, 29.9184, 1.12149
65, 0, 210, 29.5448, 1.13754
66, 0, 209, 30.5448, 1.1532
67, 0, 209, 30.1298, 1.16883
68, 0, 209, 29.7562, 1.18688
69, 0, 209, 29.3412, 1.20817
70, 0, 209, 28.9677, 1.23821
71, 0, 209, 28.5941, 1.25379
72, 0, 209, 28.2206, 1.27579
73, 0, 209, 27.8471, 1.2968
74, 0, 209, 27.6941, 1.31244
75, 0, 208, 28.4573, 1.32828
76, 0, 208, 28.3642, 1.3557
77, 0, 208, 28.3053, 1.37154
78, 0, 208, 28.2647, 1.38702
79, 0, 208, 27.8497, 1.40487
80, 0, 208, 27.4761, 1.4207
81, 0, 208, 26.9912, 1.44283
82, 0, 208, 26.9074, 1.46295
83, 0, 208, 26.7028, 1.47893
84, 0, 208, 26.6097, 1.49455
85, 0, 208, 26.587, 1.50991
86, 0, 208, 26.172, 1.53393
87, 0, 208, 26.1131, 1.55212
88, 0, 208, 26.0951, 1.56753
89, 0, 207, 26.2582, 1.58315
90, 0, 207, 26.2437, 1.60151
91, 0, 207, 26.2317, 1.61714
92, 0, 207, 26.1644, 1.63686
93, 0, 207, 26.0114, 1.6526
94, 0, 207, 25.5265, 1.66812
95, 0, 206, 25.2943, 1.68388
96, 0, 205, 26.0575, 1.70525
97, 0, 204, 25.8253, 1.72087
98, 0, 203, 26.8253, 1.73778
99, 0, 202, 28.1734, 1.75451
100, 0, 201, 29.1734, 1.79351
101, 0, 200, 30.1734, 1.80985
102, 0, 199, 30.9366, 1.82553
103, 0, 199, 30.5216, 1.85134
104, 0, 199, 30.8366, 1.8696
105, 0, 198, 31.5998, 1.88552
106, 0, 197, 32.5998, 1.90124
107, 0, 197, 32.1848, 1.91685
108, 0, 196, 32.948, 1.94366
109, 0, 195, 34.2962, 1.96137
110, 0, 195, 34.1262, 1.97697
111, 0, 194, 34.8894, 1.99266
112, 0, 194, 34.4744, 2.00911
113, 0, 193, 35.2376, 2.02653
114, 0, 193, 34.8641, 2.04241
115, 0, 193, 34.6941, 2.07206
116, 0, 192, 35.4573, 2.08827
117, 0, 192, 35.0838, 2.10557
118, 0, 191, 35.3251, 2.12156
119, 0, 191, 34.9516, 2.15062
120, 0, 191, 34.5781, 2.16658
121, 0, 191, 34.4251, 2.18231
122, 0, 191, 34.2552, 2.19813
123, 0, 191, 34.1023, 2.22972
124, 0, 190, 34.8655, 2.24569
125, 0, 190, 34.7125, 2.26163
126, 0, 190, 34.6287, 2.27752
127, 0, 190, 34.5356, 2.29341
128, 0, 190, 34.3827, 2.30946
129, 0, 190, 34.2298, 2.3303
130, 0, 190, 33.8147, 2.34697
131, 0, 190, 33.7309, 2.36325
132, 0, 190, 33.6471, 2.39014
133, 0, 189, 34.4103, 2.40645
134, 0, 188, 35.4103, 2.42226
135, 0, 188, 34.9953, 2.4409
136, 0, 187, 34.7631, 2.45826
137, 0, 186, 35.5263, 2.47526
138, 0, 185, 35.8791, 2.49127
139, 0, 185, 35.5055, 2.50719
140, 0, 184, 36.8537, 2.52399
141, 0, 183, 37.6169, 2.54912
142, 0, 183, 37.447, 2.56587
143, 0, 183, 37.0734, 2.58188
144, 0, 183, 36.6999, 2.59792
145, 0, 182, 36.4677, 2.61415
146, 0, 181, 37.2309, 2.64308
147, 0, 180, 37.9941, 2.6596
148, 0, 179, 38.7573, 2.67594
149, 0, 178, 39.5205, 2.69843
150, 0, 177, 40.2837, 2.71477
151, 0, 176, 41.0469, 2.73121
152, 0, 175, 41.8101, 2.74738
153, 0, 174, 42.8101, 2.76385
154, 0, 174, 42.395, 2.7803
155, 0, 174, 42.0215, 2.79685
156, 0, 174, 41.648, 2.81321
157, 0, 174, 41.495, 2.84797
158, 0, 174, 41.1215, 2.86578
159, 0, 173, 42.1215, 2.88202
160, 0, 173, 41.748, 2.8985
161, 0, 172, 42.748, 2.91496
162, 0, 171, 43.5112, 2.93142
163, 0, 170, 44.5112, 2.94985
164, 0, 170, 44.0961, 2.96641
165, 0, 169, 44.8593, 2.98696
166, 0, 169, 44.7064, 3.00466
167, 0, 168, 45.7064, 3.02827
168, 0, 167, 46.4696, 3.05032
169, 0, 166, 47.4696, 3.06696
170, 0, 165, 48.2328, 3.08356
171, 0, 165, 47.8178, 3.10138
172, 0, 165, 47.6478, 3.11776
173, 0, 165, 47.2743, 3.13412
174, 0, 165, 46.9008, 3.15035
175, 0, 165, 46.817, 3.17144
176, 0, 165, 46.664, 3.18802
177, 0, 164, 47.4272, 3.20465
178, 0, 164, 47.0537, 3.22102
179, 0, 163, 47.8169, 3.23791
180, 0, 163, 47.647, 3.25427
181, 0, 163, 47.494, 3.27065
182, 0, 163, 46.916, 3.28721
183, 0, 163, 46.8322, 3.30379
184, 0, 162, 47.0219, 3.32056
185, 0, 162, 46.9114, 3.33719
186, 0, 162, 46.7069, 3.35385
187, 0, 161, 47.4701, 3.37047
188, 0, 160, 48.2333, 3.39169
189, 0, 160, 47.8597, 3.40813
190, 0, 160, 47.4862, 3.42511
191, 0, 159, 48.8344, 3.44173
192, 0, 158, 49.5975, 3.45833
193, 0, 158, 49.1126, 3.47573
194, 0, 157, 49.8758, 3.51172
195, 0, 157, 49.4607, 3.52853
196, 0, 157, 49.0457, 3.54847
197, 0, 156, 49.8089, 3.56539
198, 0, 156, 49.4354, 3.58215
199, 0, 156, 49.0618, 3.6003
200, 0, 156, 48.6883, 3.63065
201, 0, 156, 48.5778, 3.65485
202, 0, 156, 48.5678, 3.67138
203, 0, 156, 48.5592, 3.68926
204, 0, 156, 48.5151, 3.70596
205, 0, 156, 48.3622, 3.72285
206, 0, 156, 48.2092, 3.76294
207, 0, 156, 47.8357, 3.77993
208, 0, 156, 47.6828, 3.79677
209, 0, 156, 47.5298, 3.81358
