Seed is: 31
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 0.00014
1, 0, 255, 1, 0.017984
2, 0, 255, 0.584963, 0.044415
3, 0, 255, 0.415037, 0.059934
4, 0, 254, 1.17823, 0.074452
5, 0, 253, 1.94143, 0.08901
6, 0, 253, 1.5679, 0.106423
7, 0, 253, 1.19436, 0.150056
8, 0, 252, 1.43571, 0.173481
9, 0, 252, 1.23117, 0.218055
10, 0, 252, 1.07823, 0.233775
11, 0, 251, 1.84143, 0.248333
12, 0, 250, 2.84143, 0.269243
13, 0, 250, 2.42639, 0.292076
14, 0, 250, 2.25647, 0.321012
15, 0, 249, 3.01967, 0.353083
16, 0, 248, 3.78286, 0.367961
17, 0, 248, 3.40933, 0.418487
18, 0, 248, 3.0358, 0.436141
19, 0, 248, 2.88286, 0.452833
20, 0, 248, 2.72993, 0.467491
21, 0, 247, 3.49313, 0.483782
22, 0, 246, 4.49313, 0.504561
23, 0, 246, 4.07809, 0.519219
24, 0, 246, 3.90817, 0.556099
25, 0, 245, 3.67597, 0.592789
26, 0, 244, 5.02413, 0.621764
27, 0, 243, 5.78733, 0.651882
28, 0, 243, 5.30237, 0.694272
29, 0, 243, 4.92883, 0.727596
30, 0, 243, 4.7243, 0.761961
31, 0, 243, 4.57136, 0.776559
32, 0, 242, 5.33456, 0.792079
33, 0, 241, 6.33456, 0.817617
34, 0, 241, 5.91952, 0.832516
35, 0, 241, 5.7496, 0.873323
36, 0, 240, 6.5128, 0.888703
37, 0, 239, 7.27599, 0.903341
38, 0, 239, 6.90246, 0.943267
39, 0, 239, 6.52892, 0.997069
40, 0, 239, 6.37599, 1.01987
41, 0, 239, 6.22306, 1.03847
42, 0, 238, 6.98626, 1.05341
43, 0, 237, 7.98626, 1.08194
44, 0, 237, 7.57122, 1.09688
45, 0, 237, 7.40129, 1.11175
46, 0, 236, 8.16449, 1.12676
47, 0, 235, 8.92769, 1.14632
48, 0, 235, 8.55416, 1.17399
49, 0, 235, 8.18062, 1.19684
50, 0, 235, 8.02769, 1.21165
51, 0, 235, 7.87476, 1.22689
52, 0, 234, 8.63795, 1.26472
53, 0, 233, 9.63795, 1.29284
54, 0, 233, 9.22292, 1.32679
55, 0, 233, 9.05299, 1.36811
56, 0, 232, 9.81619, 1.39837
57, 0, 231, 10.5794, 1.44548
58, 0, 231, 10.2059, 1.46155
59, 0, 231, 9.83232, 1.48327
60, 0, 231, 9.67939, 1.5135
61, 0, 230, 9.92073, 1.52907
62, 0, 230, 9.71619, 1.54451
63, 0, 229, 10.7162, 1.56807
64, 0, 229, 10.3012, 1.60135
65, 0, 229, 10.1312, 1.61692
66, 0, 228, 9.89903, 1.63225
67, 0, 227, 11.2472, 1.67838
68, 0, 227, 10.8737, 1.69407
69, 0, 227, 10.3887, 1.73416
70, 0, 227, 10.2358, 1.75626
71, 0, 227, 10.0312, 1.77232
72, 0, 226, 9.79903, 1.81328
73, 0, 225, 11.1472, 1.82998
74, 0, 225, 10.7737, 1.84957
75, 0, 225, 10.2887, 1.87084
76, 0, 225, 10.1358, 1.88586
77, 0, 225, 9.93123, 1.90143
78, 0, 224, 10.6944, 1.92529
79, 0, 224, 10.3209, 1.94969
80, 0, 224, 9.94736, 1.96507
81, 0, 224, 9.79442, 2.00255
82, 0, 224, 9.64149, 2.01797
83, 0, 223, 10.4047, 2.05065
84, 0, 222, 10.7575, 2.07052
85, 0, 222, 10.2725, 2.09348
86, 0, 222, 9.89896, 2.1251
87, 0, 222, 9.69442, 2.14205
88, 0, 222, 9.54149, 2.17175
89, 0, 221, 10.3047, 2.20788
90, 0, 221, 9.93115, 2.22361
91, 0, 221, 9.55762, 2.25044
92, 0, 221, 9.40469, 2.27573
93, 0, 221, 9.25176, 2.29388
94, 0, 220, 10.2518, 2.33099
95, 0, 220, 9.83672, 2.34649
96, 0, 220, 9.66679, 2.36292
97, 0, 220, 9.55629, 2.38616
