# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
1  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
2  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
3  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
4  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
5  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
6  0.010000  -0.089499  0.109499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
7  0.010000  -0.089499  0.109499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
8  0.010000  -0.089499  0.109499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
9  0.020000  -0.120000  0.160000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
10  0.050000  -0.167945  0.267945  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11  0.060000  -0.216405  0.336405  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
12  0.070000  -0.254191  0.394191  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13  0.100000  -0.312311  0.512311  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14  0.130000  -0.392590  0.652590  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
15  0.150000  -0.439491  0.739491  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
16  0.160000  -0.499090  0.819090  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
17  0.180000  -0.560000  0.920000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
18  0.200000  -0.561577  0.961577  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
19  0.230000  -0.580617  1.040617  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
20  0.240000  -0.598093  1.078093  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
21  0.280000  -0.615321  1.175321  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
22  0.320000  -0.606067  1.246067  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
23  0.330000  -0.597955  1.257955  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
24  0.360000  -0.604572  1.324572  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
25  0.400000  -0.629563  1.429563  0.010000  -0.089499  0.109499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
26  0.440000  -0.649220  1.529220  0.020000  -0.178997  0.218997  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
27  0.480000  -0.698813  1.658813  0.020000  -0.178997  0.218997  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  -0.089499  0.109499  0.000000  0.000000  0.000000
28  0.490000  -0.705784  1.685784  0.020000  -0.178997  0.218997  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.020000  -0.178997  0.218997  0.000000  0.000000  0.000000
29  0.510000  -0.702394  1.722394  0.030000  -0.191585  0.251585  0.020000  -0.120000  0.160000  0.000000  0.000000  0.000000  0.030000  -0.268496  0.328496  0.000000  0.000000  0.000000
30  0.530000  -0.706568  1.766568  0.050000  -0.245804  0.345804  0.030000  -0.191585  0.251585  0.000000  0.000000  0.000000  0.040000  -0.357995  0.437995  0.000000  0.000000  0.000000
31  0.580000  -0.755515  1.915515  0.060000  -0.281174  0.401174  0.040000  -0.201661  0.281661  0.000000  0.000000  0.000000  0.050000  -0.447494  0.547494  0.000000  0.000000  0.000000
32  0.610000  -0.782085  2.002085  0.060000  -0.281174  0.401174  0.060000  -0.250483  0.370483  0.000000  0.000000  0.000000  0.060000  -0.536992  0.656992  0.000000  0.000000  0.000000
33  0.650000  -0.829020  2.129020  0.060000  -0.281174  0.401174  0.080000  -0.336653  0.496653  0.000000  0.000000  0.000000  0.070000  -0.626491  0.766491  0.000000  0.000000  0.000000
34  0.710000  -0.885588  2.305588  0.060000  -0.281174  0.401174  0.120000  -0.395364  0.635364  0.000000  0.000000  0.000000  0.070000  -0.626491  0.766491  0.000000  0.000000  0.000000
35  0.770000  -0.937952  2.477952  0.060000  -0.281174  0.401174  0.160000  -0.418273  0.738273  0.000000  0.000000  0.000000  0.080000  -0.622567  0.782567  0.000000  0.000000  0.000000
36  0.840000  -0.958444  2.638444  0.070000  -0.283695  0.423695  0.210000  -0.457757  0.877757  0.000000  0.000000  0.000000  0.090000  -0.632426  0.812426  0.000000  0.000000  0.000000
37  0.880000  -0.970838  2.730838  0.100000  -0.312311  0.512311  0.220000  -0.495262  0.935262  0.000000  0.000000  0.000000  0.110000  -0.737290  0.957290  0.000000  0.000000  0.000000
