# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000  165.000000
1  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000  164.000000
2  163.070000  162.814853  163.325147  163.000000  163.000000  163.000000  163.000000  163.000000  163.000000  163.020000  162.880000  163.160000  163.030000  162.859413  163.200587  163.020000  162.880000  163.160000
3  162.170000  161.744442  162.595558  162.000000  162.000000  162.000000  162.020000  161.880000  162.160000  162.930000  162.638281  163.221719  162.870000  162.478720  163.261280  162.920000  162.614059  163.225941
4  161.280000  160.749340  161.810660  161.000000  161.000000  161.000000  161.060000  160.822513  161.297487  162.910000  162.623818  163.196182  162.650000  162.113810  163.186190  162.900000  162.600000  163.200000
5  160.490000  159.775927  161.204073  160.000000  160.000000  160.000000  160.060000  159.822513  160.297487  162.000000  162.000000  162.000000  161.850000  161.416987  162.283013  162.000000  162.000000  162.000000
6  159.760000  158.886845  160.633155  159.010000  158.910501  159.109499  159.150000  158.792929  159.507071  161.700000  161.241742  162.158258  161.560000  160.922505  162.197495  161.770000  161.349167  162.190833
7  159.020000  157.961888  160.078112  158.010000  157.910501  158.109499  158.170000  157.794367  158.545633  161.590000  161.059057  162.120943  161.370000  160.586993  162.153007  161.600000  160.936675  162.263325
8  158.270000  157.071209  159.468791  157.080000  156.808707  157.351293  157.220000  156.805754  157.634246  161.550000  160.995473  162.104527  161.160000  160.280000  162.040000  161.460000  160.538914  162.381086
9  157.520000  156.167373  158.872627  156.110000  155.797110  156.422890  156.250000  155.816987  156.683013  161.480000  160.872053  162.087947  160.890000  159.921548  161.858452  161.290000  160.201010  162.378990
10  156.750000  155.264234  158.235766  155.160000  154.793394  155.526606  155.310000  154.826368  155.793632  160.910000  160.590782  161.229218  160.420000  159.546158  161.293842  160.420000  159.369476  161.470524
11  156.060000  154.436301  157.683699  154.170000  153.794367  154.545633  154.390000  153.743548  155.036452  160.040000  159.798339  160.281661  159.900000  158.988957  160.811043  159.650000  158.870577  160.429423
12  155.320000  153.577129  157.062871  153.170000  152.794367  153.545633  153.430000  152.691691  154.168309  159.530000  158.992320  160.067680  159.500000  158.465592  160.534408  159.420000  158.581191  160.258809
