# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000  732.000000
1  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000  731.000000
2  730.140000  729.793013  730.486987  730.000000  730.000000  730.000000  730.020000  729.880000  730.160000  731.000000  731.000000  731.000000  730.830000  730.454367  731.205633  731.000000  731.000000  731.000000
3  729.350000  728.777724  729.922276  729.000000  729.000000  729.000000  729.020000  728.880000  729.160000  731.000000  731.000000  731.000000  730.590000  729.940462  731.239538  731.000000  731.000000  731.000000
4  728.570000  727.805082  729.334918  728.000000  728.000000  728.000000  728.040000  727.844041  728.235959  730.000000  730.000000  730.000000  729.840000  729.316168  730.363832  730.000000  730.000000  730.000000
5  727.750000  726.862588  728.637412  727.010000  726.910501  727.109499  727.100000  726.800000  727.400000  729.010000  728.910501  729.109499  729.110000  728.546174  729.673826  729.000000  729.000000  729.000000
6  726.940000  726.014581  727.865419  726.040000  725.844041  726.235959  726.160000  725.793394  726.526606  728.690000  728.227507  729.152493  728.770000  728.079276  729.460724  728.740000  728.301366  729.178634
7  726.110000  725.081457  727.138543  725.070000  724.716305  725.423695  725.240000  724.708587  725.771413  728.580000  728.066580  729.093420  728.470000  727.770643  729.169357  728.500000  727.829180  729.170820
8  725.270000  724.157750  726.382250  724.080000  723.688082  724.471918  724.280000  723.662262  724.897738  728.500000  727.943224  729.056776  728.180000  727.338810  729.021190  728.400000  727.678890  729.121110
9  724.500000  723.231142  725.768858  723.230000  722.722950  723.737050  723.330000  722.696675  723.963325  728.420000  727.817007  729.022993  727.900000  726.905013  728.894987  728.240000  727.451077  729.028923
10  723.700000  722.317973  725.082027  722.800000  722.234315  723.365685  722.760000  722.110077  723.409923  727.930000  727.674853  728.185147  727.490000  726.568100  728.411900  727.590000  726.895810  728.284190
11  722.990000  721.412058  724.567942  722.290000  721.426345  723.153655  722.210000  721.312281  723.107719  727.530000  727.011252  728.048748  727.150000  726.107167  728.192833  727.130000  726.153732  728.106268
12  722.240000  720.472969  724.007031  721.470000  720.581687  722.358313  721.410000  720.460316  722.359684  727.410000  726.776044  728.043956  726.800000  725.591695  728.008305  726.990000  725.863102  728.116898
13  721.480000  719.528180  723.431820  720.510000  719.599012  721.420988  720.500000  719.485111  721.514889  726.890000  726.468218  727.311782  726.260000  725.046575  727.473425  726.450000  725.507928  727.392072
14  720.710000  718.723571  722.696429  719.540000  718.597450  720.482550  719.600000  718.541699  720.658301  726.040000  725.695907  726.384093  725.730000  724.645058  726.814942  725.660000  724.922165  726.397835
15  719.950000  717.928243  721.971757  718.590000  717.672449  719.507551  718.770000  717.771451  719.768549  725.500000  724.943224  726.056776  725.320000  724.198572  726.441428  725.230000  724.326064  726.133936
16  719.150000  717.041090  721.258910  717.680000  716.691263  718.668737  717.990000  716.927032  719.052968  725.340000  724.688540  725.991460  725.010000  723.839573  726.180427  725.000000  723.932292  726.067708
17  718.410000  716.195977  720.624023  716.780000  715.697595  717.862405  717.140000  716.008452  718.271548  724.890000  724.546634  725.233366  724.540000  723.440728  725.639272  724.460000  723.465817  725.454183
18  717.660000  715.352534  719.967466  715.950000  714.806540  717.093460  716.380000  715.140807  717.619193  724.070000  723.778281  724.361719  724.020000  722.915645  725.124355  723.730000  722.859885  724.600115
19  716.970000  714.614347  719.325653  715.380000  714.093299  716.666701  715.710000  714.373624  717.046376  723.460000  722.904662  724.015338  723.550000  722.424167  724.675833  723.170000  722.320824  724.019176
20  716.300000  713.784051  718.815949  714.860000  713.376625  716.343375  715.100000  713.661251  716.538749  723.130000  722.413690  723.846310  723.110000  721.861841  724.358159  722.800000  721.820204  723.779796
21  715.620000  712.941269  718.298731  714.310000  712.585500  716.034500  714.470000  712.848550  716.091450  722.940000  722.129815  723.750185  722.690000  721.419606  723.960394  722.620000  721.545012  723.694988
22  714.910000  712.196718  717.623282  713.550000  711.709484  715.390516  713.690000  711.971309  715.408691  722.860000  722.023101  723.696899  722.360000  721.014489  723.705511  722.420000  721.287039  723.552961
23  714.200000  711.410735  716.989265  712.610000  710.723760  714.496240  712.940000  711.146568  714.733432  722.550000  721.881046  723.218954  721.960000  720.553444  723.366556  722.010000  720.975640  723.044360
24  713.510000  710.641220  716.378780  711.730000  709.870672  713.589328  712.130000  710.250346  714.009654  722.090000  721.472019  722.707981  721.520000  720.123719  722.916281  721.630000  720.664029  722.595971
25  712.860000  709.820197  715.899803  710.900000  709.031846  712.768154  711.290000  709.303571  713.276429  721.710000  720.957737  722.462263  721.110000  719.746952  722.473048  721.460000  720.416736  722.503264
26  712.150000  708.973918  715.326082  710.150000  708.293256  712.006744  710.520000  708.458544  712.581456  721.520000  720.631406  722.408594  720.790000  719.438741  722.141259  721.210000  720.049871  722.370129
27  711.560000  708.309400  714.810600  709.650000  707.724513  711.575487  709.800000  707.641297  711.958703  721.360000  720.306245  722.413755  720.470000  718.963647  721.976353  720.950000  719.561656  722.338344
28  710.850000  707.538278  714.161722  709.200000  707.116733  711.283267  709.140000  706.903843  711.376157  721.280000  720.139123  722.420877  720.170000  718.526498  721.813502  720.630000  719.155856  722.104144
29  710.160000  706.722792  713.597208  708.610000  706.493895  710.726105  708.390000  706.127722  710.652278  721.140000  720.091000  722.189000  719.780000  718.121205  721.438795  720.070000  718.632954  721.507046
30  709.540000  705.977922  713.102078  707.860000  705.664459  710.055541  707.670000  705.269771  710.070229  720.670000  719.752885  721.587115  719.310000  717.644497  720.975503  719.500000  718.184705  720.815295
31  708.910000  705.240954  712.579046  707.060000  704.780439  709.339561  706.950000  704.482714  709.417286  720.050000  719.310068  720.789932  718.840000  717.168354  720.511646  719.140000  717.790778  720.489222
32  708.260000  704.432155  712.087845  706.310000  703.940633  708.679367  706.230000  703.642124  708.817876  719.470000  718.604494  720.335506  718.430000  716.737339  720.122661  718.760000  717.275951  720.244049
