# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000  256.000000
1  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000  255.000000
2  254.180000  253.795813  254.564187  254.000000  254.000000  254.000000  254.000000  254.000000  254.000000  255.000000  255.000000  255.000000  254.910000  254.623818  255.196182  255.000000  255.000000  255.000000
3  253.280000  252.749340  253.810660  253.000000  253.000000  253.000000  253.010000  252.910501  253.109499  255.000000  255.000000  255.000000  254.800000  254.290098  255.309902  255.000000  255.000000  255.000000
4  252.410000  251.730368  253.089632  252.000000  252.000000  252.000000  252.030000  251.859413  252.200587  254.000000  254.000000  254.000000  253.890000  253.577110  254.202890  254.000000  254.000000  254.000000
5  251.610000  250.786653  252.433347  251.010000  250.910501  251.109499  251.070000  250.814853  251.325147  253.030000  252.859413  253.200587  253.040000  252.695907  253.384093  253.020000  252.880000  253.160000
6  250.810000  249.918989  251.701011  250.030000  249.859413  250.200587  250.120000  249.795038  250.444962  252.770000  252.349167  253.190833  252.660000  252.040000  253.280000  252.780000  252.365754  253.194246
7  250.000000  248.980196  251.019804  249.040000  248.798339  249.281661  249.190000  248.727507  249.652493  252.630000  252.107410  253.152590  252.390000  251.616760  253.163240  252.630000  252.019181  253.240819
8  249.240000  248.098773  250.381227  248.060000  247.718826  248.401174  248.250000  247.695473  248.804527  252.550000  251.977724  253.122276  252.130000  251.297474  252.962526  252.470000  251.627919  253.312081
9  248.480000  247.149737  249.810263  247.060000  246.718826  247.401174  247.330000  246.608127  248.051873  252.490000  251.881806  253.098194  251.870000  250.946366  252.793634  252.260000  251.243929  253.276071
10  247.710000  246.218055  249.201945  246.060000  245.718826  246.401174  246.390000  245.643073  247.136927  251.880000  251.525599  252.234401  251.380000  250.522329  252.237671  251.470000  250.593017  252.346983
11  246.930000  245.285281  248.574719  245.110000  244.712634  245.507366  245.460000  244.680000  246.240000  251.020000  250.775869  251.264131  250.780000  249.948375  251.611625  250.600000  249.921767  251.278233
12  246.170000  244.397685  247.942315  244.160000  243.617414  244.702586  244.550000  243.685419  245.414581  250.530000  250.011252  251.048748  250.320000  249.331263  251.308737  250.340000  249.454336  251.225664
13  245.460000  243.544693  247.375307  243.160000  242.617414  243.702586  243.570000  242.683941  244.456059  250.350000  249.666260  251.033740  249.950000  248.842074  251.057926  250.180000  249.072029  251.287971
14  244.720000  242.670220  246.769780  242.160000  241.617414  242.702586  242.580000  241.694788  243.465212  249.810000  249.347507  250.272493  249.560000  248.434656  250.685344  249.460000  248.445899  250.474101
15  243.990000  241.852268  246.127732  241.170000  240.621274  241.718726  241.610000  240.673037  242.546963  249.000000  248.717157  249.282843  249.010000  247.865491  250.154509  248.690000  247.869086  249.510914
16  243.280000  241.043574  245.516426  240.210000  239.621867  240.798133  240.660000  239.698543  241.621457  248.450000  247.932796  248.967204  248.520000  247.275171  249.764829  248.280000  247.418838  249.141162
17  242.560000  240.213428  244.906572  239.240000  238.574868  239.905132  239.750000  238.716801  240.783199  248.170000  247.505846  248.834154  248.020000  246.795418  249.244582  247.990000  246.965354  249.014646
18  241.830000  239.380286  244.279714  238.260000  237.530343  238.989657  238.810000  237.699189  239.920811  247.980000  247.205662  248.754338  247.560000  246.316457  248.803543  247.680000  246.431962  248.928038
19  241.120000  238.553758  243.686242  237.270000  236.484443  238.055557  237.880000  236.746157  239.013843  247.840000  246.937559  248.742441  247.100000  245.762091  248.437909  247.430000  246.049746  248.810254
20  240.430000  237.790852  243.069148  236.300000  235.422504  237.177496  236.980000  235.763612  238.196388  247.560000  246.794232  248.325768  246.720000  245.270310  248.169690  246.830000  245.596671  248.063329
21  239.760000  237.020949  242.499051  235.370000  234.435602  236.304398  236.050000  234.782128  237.317872  246.880000  246.345584  247.414416  246.320000  244.957062  247.682938  246.100000  245.009129  247.190871
22  239.090000  236.278968  241.901032  234.420000  233.398433  235.441567  235.150000  233.813026  236.486974  246.190000  245.612159  246.767841  245.820000  244.567962  247.072038  245.720000  244.511033  246.928967
23  238.520000  235.562028  241.477972  233.460000  232.379074  234.540926  234.250000  232.826097  235.673903  245.900000  245.131885  246.668115  245.370000  244.001388  246.738612  245.420000  244.011597  246.828403
24  237.860000  234.813625  240.906375  232.520000  231.393235  233.646765  233.360000  231.853215  234.866785  245.580000  244.884586  246.275414  245.050000  243.550834  246.549166  244.870000  243.576516  246.163484
25  237.200000  234.104842  240.295158  231.600000  230.416784  232.783216  232.470000  230.892312  234.047688  244.880000  244.345584  245.414416  244.660000  243.122339  246.197661  244.300000  243.190946  245.409054
26  236.460000  233.274345  239.645655  230.680000  229.440000  231.920000  231.590000  229.958467  233.221533  244.160000  243.548118  244.771882  244.190000  242.682054  245.697946  243.930000  242.907699  244.952301
27  235.760000  232.440000  239.080000  229.760000  228.455239  231.064761  230.740000  228.998621  232.481379  243.800000  243.038423  244.561577  243.650000  242.091956  245.208044  243.560000  242.434656  244.685344
28  235.070000  231.599395  238.540605  228.870000  227.553527  230.186473  229.870000  228.077488  231.662512  243.600000  242.716824  244.483176  243.110000  241.542231  244.677769  243.240000  241.875302  244.604698
29  234.350000  230.793668  237.906332  227.980000  226.638508  229.321492  229.020000  227.117475  230.922525  243.390000  242.401112  244.378888  242.780000  241.139390  244.420610  242.900000  241.347583  244.452417
30  233.640000  230.027466  237.252534  227.130000  225.798422  228.461578  228.140000  226.170127  230.109873  243.110000  242.151929  244.068071  242.440000  240.764769  244.115231  242.320000  240.844331  243.795669
31  233.000000  229.285165  236.714835  226.360000  224.985082  227.734918  227.370000  225.371726  229.368274  242.640000  241.858719  243.421281  242.030000  240.289569  243.770431  241.700000  240.347225  243.052775
32  232.310000  228.427488  236.192512  225.600000  224.243534  226.956466  226.570000  224.534048  228.605952  242.050000  241.381046  242.718954  241.610000  239.890145  243.329855  241.240000  239.817889  242.662111
33  231.700000  227.708760  235.691240  224.720000  223.377763  226.062237  225.770000  223.658815  227.881185  241.520000  240.726527  242.313473  241.070000  239.359708  242.780292  240.820000  239.217627  242.422373
34  231.090000  226.988549  235.191451  223.890000  222.549142  225.230858  224.980000  222.798349  227.161651  241.110000  240.194631  242.025369  240.610000  238.816149  242.403851  240.260000  238.649907  241.870093
35  230.490000  226.267453  234.712547  223.090000  221.668065  224.511935  224.200000  221.950556  226.449444  240.640000  239.911714  241.368286  240.300000  238.464244  242.135756  239.680000  238.197570  241.162430
36  229.940000  225.554068  234.325932  222.210000  220.718055  223.701945  223.330000  221.084761  225.575239  240.050000  239.427505  240.672495  239.820000  237.963229  241.676771  239.210000  237.786659  240.633341
37  229.400000  224.819607  233.980393  221.370000  219.836018  222.903982  222.600000  220.363932  224.836068  239.440000  238.674232  240.205768  239.380000  237.473275  241.286725  238.900000  237.475219  240.324781
38  228.750000  224.097313  233.402687  220.550000  218.947658  222.152342  221.820000  219.582233  224.057767  239.070000  238.097837  240.042163  238.940000  237.033065  240.846935  238.550000  236.979172  240.120828
39  228.090000  223.442216  232.737784  219.780000  218.139390  221.420610  221.000000  218.693487  223.306513  238.860000  237.764372  239.955628  238.490000  236.553534  240.426466  238.110000  236.332952  239.887048
40  227.460000  222.783634  232.136366  218.890000  217.181814  220.598186  220.230000  217.911143  222.548857  238.640000  237.567433  239.712567  238.070000  236.114214  240.025786  237.660000  235.903754  239.416246
41  226.820000  222.084221  231.555779  218.070000  216.268584  219.871416  219.440000  217.158246  221.721754  238.290000  237.327763  239.252237  237.590000  235.640154  239.539846  237.090000  235.416112  238.763888
42  226.260000  221.485861  231.034139  217.320000  215.376395  219.263605  218.670000  216.376291  220.963709  237.820000  236.955361  238.684639  237.190000  235.166661  239.213339  236.530000  234.824392  238.235608
43  225.660000  220.805682  230.514318  216.580000  214.481524  218.678476  217.870000  215.534813  220.205187  237.260000  236.392590  238.127410  236.810000  234.786661  238.833339  236.070000  234.246514  237.893486
44  225.090000  220.190827  229.989173  215.790000  213.548148  218.031852  217.140000  214.781950  219.498050  236.780000  235.857178  237.702822  236.470000  234.447848  238.492152  235.540000  233.666928  237.413072
45  224.460000  219.485224  229.434776  215.070000  212.685655  217.454345  216.430000  214.028938  218.831062  236.310000  235.343615  237.276385  236.020000  234.010124  238.029876  234.970000  233.123625  236.816375
46  223.790000  218.751558  228.828442  214.370000  211.837590  216.902410  215.660000  213.201464  218.118536  235.670000  234.699897  236.640103  235.540000  233.578266  237.501734  234.510000  232.652609  236.367391
47  223.220000  218.169099  228.270901  213.630000  210.966713  216.293287  214.950000  212.340881  217.559119  235.040000  234.102770  235.977230  235.120000  233.237024  237.002976  234.110000  232.202672  236.017328
48  222.630000  217.537545  227.722455  212.840000  210.165229  215.514771  214.210000  211.448497  216.971503  234.630000  233.565528  235.694472  234.700000  232.748078  236.651922  233.590000  231.540146  235.639854
49  222.060000  216.926152  227.193848  212.050000  209.299091  214.800909  213.470000  210.577060  216.362940  234.330000  233.121240  235.538760  234.240000  232.219505  236.260495  233.140000  231.009179  235.270821
50  221.440000  216.243232  226.636768  211.270000  208.474092  214.065908  212.680000  209.673740  215.686260  234.050000  232.814079  235.285921  233.810000  231.796570  235.823430  232.720000  230.547076  234.892924
51  220.910000  215.644841  226.175159  210.480000  207.618252  213.341748  211.880000  208.803378  214.956622  233.780000  232.542422  235.017578  233.480000  231.467638  235.492362  232.200000  230.155495  234.244505
52  220.410000  215.175318  225.644682  209.690000  206.738068  212.641932  211.110000  207.916585  214.303415  233.410000  232.286657  234.533343  233.080000  231.022429  235.137571  231.670000  229.610607  233.729393
53  219.860000  214.642683  225.077317  208.980000  205.946916  212.013084  210.350000  207.020210  213.679790  232.910000  231.889265  233.930735  232.660000  230.619314  234.700686  231.250000  229.094194  233.405806
54  219.300000  214.022690  224.577310  208.280000  205.187816  211.372184  209.560000  206.147318  212.972682  232.380000  231.402452  233.357548  232.170000  230.100918  234.239082  230.790000  228.593207  232.986793
55  218.760000  213.372756  224.147244  207.630000  204.412377  210.847623  208.790000  205.273482  212.306518  231.980000  230.990253  232.969747  231.790000  229.695746  233.884254  230.300000  228.171620  232.428380
56  218.210000  212.790969  223.629031  206.970000  203.642974  210.297026  208.090000  204.528834  211.651166  231.490000  230.475160  232.504840  231.430000  229.284050  233.575950  229.880000  227.848843  231.911157
57  217.680000  212.212130  223.147870  206.270000  202.814989  209.725011  207.310000  203.713627  210.906373  230.930000  229.968179  231.891821  231.040000  228.890954  233.189046  229.470000  227.433066  231.506934
58  217.190000  211.689645  222.690355  205.690000  202.138395  209.241605  206.620000  203.012286  210.227714  230.470000  229.445744  231.494256  230.680000  228.480546  232.879454  229.040000  226.995887  231.084113
59  216.620000  211.083250  222.156750  205.100000  201.429850  208.770150  205.890000  202.257109  209.522891  230.080000  228.960357  231.199643  230.290000  228.070563  232.509437  228.710000  226.668946  230.751054
60  216.050000  210.483358  221.616642  204.430000  200.684990  208.175010  205.240000  201.557284  208.922716  229.650000  228.472078  230.827922  229.860000  227.540431  232.179569  228.330000  226.295031  230.364969
61  215.550000  209.924389  221.175611  203.740000  199.880933  207.599067  204.590000  200.787120  208.392880  229.440000  228.212645  230.667355  229.430000  227.028938  231.831062  227.980000  225.916120  230.043880
62  214.950000  209.283652  220.616348  203.020000  199.116207  206.923793  203.920000  200.024669  207.815331  229.110000  227.910875  230.309125  228.910000  226.501287  231.318713  227.630000  225.515030  229.744970
63  214.400000  208.651957  220.148043  202.340000  198.387229  206.292771  203.270000  199.335905  207.204095  228.760000  227.636434  229.883566  228.440000  226.005580  230.874420  227.280000  225.134866  229.425134
64  213.850000  208.035578  219.664422  201.670000  197.727780  205.612220  202.660000  198.627085  206.692915  228.480000  227.276007  229.683993  228.130000  225.698313  230.561687  226.970000  224.790757  229.149243
65  213.370000  207.500324  219.239676  200.980000  197.053220  204.906780  201.970000  197.850643  206.089357  228.100000  226.904174  229.295826  227.780000  225.423817  230.136183  226.620000  224.411924  228.828076
66  212.810000  206.882614  218.737386  200.190000  196.243622  204.136378  201.270000  197.056083  205.483917  227.810000  226.604222  229.015778  227.330000  224.959114  229.700886  226.310000  224.162001  228.457999
67  212.220000  206.227371  218.212629  199.500000  195.513774  203.486226  200.560000  196.302489  204.817511  227.500000  226.255010  228.744990  227.050000  224.677765  229.422235  225.860000  223.691959  228.028041
68  211.790000  205.743026  217.836974  198.900000  194.849074  202.950926  199.890000  195.556653  204.223347  227.220000  225.874043  228.565957  226.580000  224.212808  228.947192  225.510000  223.262802  227.757198
69  211.290000  205.160897  217.419103  198.320000  194.202039  202.437961  199.220000  194.823228  203.616772  226.930000  225.479104  228.380896  226.170000  223.803336  228.536664  225.330000  223.067015  227.592985
70  210.860000  204.575066  217.144934  197.680000  193.437642  201.922358  198.520000  194.107563  202.932437  226.620000  225.280000  227.960000  225.680000  223.247388  228.112612  225.010000  222.705678  227.314322
71  210.390000  203.982356  216.797644  197.040000  192.718149  201.361851  197.930000  193.439443  202.420557  226.320000  224.913728  227.726272  225.290000  222.913890  227.666110  224.690000  222.350363  227.029637
72  209.880000  203.435964  216.324036  196.350000  192.020162  200.679838  197.310000  192.708489  201.911511  226.040000  224.557300  227.522700  225.010000  222.591343  227.428657  224.340000  222.080708  226.599292
73  209.380000  202.894971  215.865029  195.670000  191.352466  199.987534  196.750000  192.007901  201.492099  225.700000  224.141154  227.258846  224.700000  222.277192  227.122808  223.900000  221.604352  226.195648
74  208.870000  202.399057  215.340943  195.010000  190.638513  199.381487  196.120000  191.325670  200.914330  225.400000  223.732667  227.067333  224.330000  221.904902  226.755098  223.620000  221.212595  226.027405
75  208.340000  201.900714  214.779286  194.360000  189.981598  198.738402  195.460000  190.576518  200.343482  225.070000  223.395157  226.744843  223.940000  221.491245  226.388755  223.350000  220.986211  225.713789
76  207.830000  201.386313  214.273687  193.670000  189.267603  198.072397  194.710000  189.723428  199.696572  224.830000  223.174373  226.485627  223.520000  221.052289  225.987711  223.070000  220.664777  225.475223
77  207.390000  200.954326  213.825674  192.980000  188.516862  197.443138  194.080000  189.003229  199.156771  224.580000  222.893702  226.266298  223.140000  220.614055  225.665945  222.740000  220.333259  225.146741
78  206.910000  200.424485  213.395515  192.320000  187.779339  196.860661  193.440000  188.305178  198.574822  224.260000  222.594947  225.925053  222.710000  220.163257  225.256743  222.420000  219.961627  224.878373
79  206.440000  199.975760  212.904240  191.750000  187.162245  196.337755  192.780000  187.631058  197.928942  224.040000  222.285463  225.794537  222.250000  219.714749  224.785251  222.030000  219.550262  224.509738
80  205.960000  199.451667  212.468333  191.220000  186.680000  195.760000  192.170000  187.008498  197.331502  223.760000  222.027257  225.492743  221.740000  219.184144  224.295856  221.760000  219.190486  224.329514
81  205.420000  198.954430  211.885570  190.600000  186.037106  195.162894  191.510000  186.347646  196.672354  223.390000  221.612952  225.167048  221.250000  218.660116  223.839884  221.440000  218.811997  224.068003
82  204.920000  198.486214  211.353786  190.020000  185.396192  194.643808  190.870000  185.713150  196.026850  223.180000  221.394615  224.965385  220.840000  218.195307  223.484693  221.090000  218.489635  223.690365
83  204.440000  197.923375  210.956625  189.420000  184.832670  194.007330  190.150000  184.989816  195.310184  222.860000  221.116326  224.603674  220.430000  217.742045  223.117955  220.780000  218.116994  223.443006
84  203.980000  197.547302  210.412698  188.760000  184.161913  193.358087  189.350000  184.201457  194.498543  222.620000  220.832376  224.407624  220.160000  217.496469  222.823531  220.460000  217.756595  223.163405
85  203.490000  197.061167  209.918833  188.090000  183.431470  192.748530  188.650000  183.497573  193.802427  222.320000  220.433840  224.206160  219.760000  217.098722  222.421278  220.150000  217.424656  222.875344
86  202.980000  196.537982  209.422018  187.430000  182.751849  192.108151  188.090000  182.943943  193.236057  221.970000  220.028583  223.911417  219.330000  216.672727  221.987273  219.860000  217.099493  222.620507
87  202.600000  196.157951  209.042049  186.770000  182.067118  191.472882  187.510000  182.284113  192.735887  221.610000  219.585673  223.634327  218.920000  216.271680  221.568320  219.570000  216.852446  222.287554
88  202.100000  195.626207  208.573793  186.170000  181.443363  190.896637  186.930000  181.683563  192.176437  221.280000  219.215636  223.344364  218.540000  215.844003  221.235997  219.210000  216.514467  221.905533
89  201.650000  195.232251  208.067749  185.530000  180.851421  190.208579  186.270000  181.101141  191.438859  220.980000  218.812144  223.147856  218.220000  215.519704  220.920296  218.820000  216.022215  221.617785
90  201.200000  194.753295  207.646705  184.930000  180.260407  189.599593  185.630000  180.455727  190.804273  220.740000  218.510112  222.969888  217.910000  215.218922  220.601078  218.490000  215.565979  221.414021
91  200.630000  194.086828  207.173172  184.370000  179.669670  189.070330  184.970000  179.856381  190.083619  220.430000  218.242513  222.617487  217.500000  214.662748  220.337252  218.150000  215.115614  221.184386
92  200.120000  193.508979  206.731021  183.740000  179.024875  188.455125  184.320000  179.223177  189.416823  220.130000  217.895475  222.364525  217.130000  214.295728  219.964272  217.740000  214.708103  220.771897
93  199.660000  192.926175  206.393825  183.050000  178.257558  187.842442  183.660000  178.601898  188.718102  219.880000  217.647154  222.112846  216.770000  213.963383  219.576617  217.240000  214.256311  220.223689
94  199.230000  192.447884  206.012116  182.390000  177.507593  187.272407  183.000000  177.944310  188.055690  219.690000  217.441912  221.938088  216.360000  213.491133  219.228867  216.780000  213.814937  219.745063
95  198.780000  191.957127  205.602873  181.700000  176.715023  186.684977  182.360000  177.352965  187.367035  219.360000  217.153102  221.566898  216.060000  213.239291  218.880709  216.390000  213.407065  219.372935
96  198.340000  191.497164  205.182836  181.100000  176.099000  186.101000  181.700000  176.749242  186.650758  218.960000  216.764915  221.155085  215.680000  212.823849  218.536151  216.180000  213.168754  219.191246
97  197.900000  190.997102  204.802898  180.430000  175.373806  185.486194  181.060000  176.171606  185.948394  218.540000  216.411996  220.668004  215.250000  212.353882  218.146118  215.850000  212.832137  218.867863
98  197.540000  190.605420  204.474580  179.850000  174.738493  184.961507  180.450000  175.538025  185.361975  218.220000  216.077198  220.362802  214.870000  211.948853  217.791147  215.370000  212.263056  218.476944
99  197.110000  190.103011  204.116989  179.200000  174.118662  184.281338  179.850000  174.942098  184.757902  217.870000  215.703644  220.036356  214.500000  211.579384  217.420616  214.860000  211.726248  217.993752
100  196.620000  189.570489  203.669511  178.600000  173.534430  183.665570  179.290000  174.255529  184.324471  217.570000  215.387089  219.752911  214.090000  211.184505  216.995495  214.320000  211.193085  217.446915
101  196.080000  188.996667  203.163333  177.940000  172.786710  183.093290  178.720000  173.670089  183.769911  217.200000  215.004550  219.395450  213.740000  210.825828  216.654172  213.930000  210.795498  217.064502
102  195.560000  188.426530  202.693470  177.270000  172.093408  182.446592  178.170000  173.128066  183.211934  216.780000  214.627885  218.932115  213.290000  210.353012  216.226988  213.530000  210.350519  216.709481
103  195.150000  187.968949  202.331051  176.650000  171.503399  181.796601  177.600000  172.502942  182.697058  216.400000  214.355495  218.444505  212.910000  209.903025  215.916975  213.100000  209.920377  216.279623
104  194.710000  187.433607  201.986393  176.080000  170.950322  181.209678  177.060000  171.922257  182.197743  215.940000  213.976228  217.903772  212.460000  209.543084  215.376916  212.720000  209.510389  215.929611
105  194.240000  186.911808  201.568192  175.510000  170.447402  180.572598  176.460000  171.282317  181.637683  215.480000  213.580105  217.379895  212.010000  209.075737  214.944263  212.280000  209.082876  215.477124
106  193.810000  186.411764  201.208236  174.890000  169.852352  179.927648  175.890000  170.769658  181.010342  215.100000  213.168679  217.031321  211.700000  208.748729  214.651271  211.870000  208.747005  214.992995
107  193.410000  185.993673  200.826327  174.270000  169.256309  179.283691  175.230000  170.119511  180.340489  214.630000  212.667069  216.592931  211.400000  208.416713  214.383287  211.500000  208.471799  214.528201
108  192.990000  185.657204  200.322796  173.650000  168.641258  178.658742  174.580000  169.445450  179.714550  214.270000  212.421460  216.118540  211.100000  208.058619  214.141381  211.020000  207.931376  214.108624
109  192.610000  185.306720  199.913280  173.090000  168.085812  178.094188  173.980000  168.789663  179.170337  213.880000  212.084004  215.675996  210.730000  207.645020  213.814980  210.630000  207.621163  213.638837
110  192.110000  184.680471  199.539529  172.580000  167.559681  177.600319  173.400000  168.083986  178.716014  213.450000  211.733172  215.166828  210.290000  207.229624  213.350376  210.190000  207.194353  213.185647
