# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
1  0.730926  0.431865  1.029988  0.613888  0.258463  0.969314  0.636164  0.299671  0.972657  0.663658  0.365041  0.962275  0.710578  0.468996  0.952159  0.653704  0.342257  0.965151
2  1.436740  1.052193  1.821287  1.568417  1.094873  2.041961  1.568898  1.130451  2.007345  1.670684  1.342153  1.999214  1.663743  1.380838  1.946648  1.664211  1.331222  1.997201
3  2.109607  1.533933  2.685282  2.214529  1.646293  2.782765  2.252575  1.714118  2.791031  1.394025  1.125723  1.662327  1.460378  1.017933  1.902823  1.401703  1.124002  1.679404
4  2.759611  2.102533  3.416688  2.990009  2.475034  3.504985  2.965329  2.430106  3.500552  1.225516  1.024778  1.426255  1.474806  0.950550  1.999062  1.230743  1.024573  1.436914
5  3.316755  2.527820  4.105690  3.663142  3.042925  4.283360  3.663255  3.129510  4.197000  1.812699  1.510851  2.114547  1.945747  1.392812  2.498682  1.818548  1.528099  2.108997
6  3.807668  2.905142  4.710193  4.576365  3.818718  5.334012  4.409074  3.686993  5.131155  1.774881  1.420526  2.129235  1.952892  1.333785  2.571999  1.730673  1.413519  2.047827
7  4.278559  3.173072  5.384047  5.286613  4.555838  6.017389  5.153609  4.476891  5.830328  1.488393  1.055459  1.921327  1.811358  1.062585  2.560131  1.485103  0.952495  2.017711
8  4.785392  3.552696  6.018087  5.904329  5.051268  6.757390  5.822064  5.055149  6.588978  1.266926  0.894800  1.639052  1.763576  0.930947  2.596206  1.398752  0.631652  2.165851
9  5.309346  3.906362  6.712329  6.722611  5.704413  7.740809  6.572938  5.723994  7.421882  1.118920  0.738200  1.499640  1.793985  0.900277  2.687694  1.358107  0.486782  2.229432
10  5.787785  4.297325  7.278245  7.456728  6.474607  8.438849  7.308782  6.377475  8.240089  1.418080  0.989135  1.847024  1.988624  1.157842  2.819406  1.963977  1.046857  2.881097
11  6.204892  4.599178  7.810606  8.287837  7.387478  9.188195  8.057939  6.975189  9.140688  2.034073  1.541050  2.527097  2.265231  1.421758  3.108703  2.446031  1.804989  3.087072
12  6.678119  4.947085  8.409154  9.191197  8.162153  10.220240  8.872370  7.649632  10.095109  2.229430  1.828187  2.630673  2.442009  1.493712  3.390307  2.329745  1.695682  2.963808
13  7.211613  5.310893  9.112332  9.974548  8.725169  11.223928  9.544720  8.095953  10.993488  2.124720  1.677186  2.572255  2.544738  1.567698  3.521778  2.305550  1.443389  3.167711
14  7.679277  5.596218  9.762336  10.823291  9.391291  12.255290  10.295658  8.680193  11.911124  1.967523  1.464502  2.470544  2.594405  1.623996  3.564814  2.280350  1.213702  3.346997
15  8.002177  5.789777  10.214577  11.458029  9.837724  13.078334  10.949940  9.146593  12.753286  1.792278  1.321067  2.263489  2.716522  1.658928  3.774115  2.239443  1.027925  3.450961
16  8.356792  6.023527  10.690057  12.126271  10.129819  14.122723  11.528114  9.489308  13.566920  2.002167  1.502096  2.502238  3.044670  2.034572  4.054768  2.680055  1.661177  3.698932
17  8.744843  6.363505  11.126180  12.752856  10.498024  15.007688  12.156919  9.999925  14.313913  2.250327  1.807997  2.692657  3.272292  2.102071  4.442514  2.818914  1.720749  3.917079
18  9.182008  6.746063  11.617953  13.324553  10.925800  15.723307  12.799195  10.565105  15.033285  2.187009  1.729289  2.644730  3.244054  1.986963  4.501145  2.845746  1.446226  4.245265
19  9.522780  6.984987  12.060573  14.055009  11.441349  16.668669  13.452162  11.058878  15.845446  2.301986  1.795689  2.808283  3.449468  2.190399  4.708537  3.195568  1.794875  4.596261
20  9.842138  7.277286  12.406990  14.742580  12.068106  17.417053  14.169575  11.675288  16.663862  2.769646  2.178397  3.360895  3.694338  2.417400  4.971275  3.651408  2.400460  4.902356
21  10.261379  7.583777  12.938980  15.421514  12.612233  18.230796  14.816862  12.253635  17.380089  3.432669  2.698851  4.166486  3.948188  2.636274  5.260101  4.206303  3.036259  5.376348
22  10.644585  7.932633  13.356538  15.996798  13.116838  18.876758  15.463088  12.895390  18.030786  3.926224  3.281803  4.570645  4.089427  2.837675  5.341178  4.367888  3.343721  5.392055
