# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
1  0.849369  0.626264  1.072473  1.000000  1.000000  1.000000  0.990528  0.944124  1.036932  1.000000  1.000000  1.000000  0.975838  0.843918  1.107758  1.000000  1.000000  1.000000
2  1.438250  0.955371  1.921129  1.613891  1.258465  1.969317  1.672326  1.369560  1.975091  0.584963  0.584963  0.584963  0.768837  0.343461  1.194213  0.584963  0.584963  0.584963
3  1.962316  1.308428  2.616203  2.313064  1.939047  2.687081  2.334533  1.930299  2.738767  0.415037  0.415037  0.415037  0.816325  0.140270  1.492380  0.415037  0.415037  0.415037
4  2.461785  1.606627  3.316942  3.243909  2.743531  3.744286  3.168638  2.551015  3.786260  1.088645  0.803784  1.373506  1.264850  0.666225  1.863475  1.098599  0.828558  1.368640
5  3.046036  2.030033  4.062039  3.988663  3.435106  4.542219  3.841609  3.195367  4.487852  1.781102  1.421711  2.140493  1.785230  1.184386  2.386075  1.819011  1.522934  2.115088
6  3.582887  2.581694  4.584080  4.904219  4.217793  5.590645  4.661995  3.847737  5.476254  1.779247  1.433582  2.124912  1.793671  1.138341  2.449002  1.740150  1.412534  2.067767
7  4.105471  3.024807  5.186135  5.563640  4.719606  6.407674  5.284164  4.285859  6.282469  1.514896  1.093375  1.936416  1.757265  1.022588  2.491941  1.614563  0.993340  2.235785
8  4.671099  3.516633  5.825566  6.167417  5.219815  7.115019  5.980058  4.862512  7.097603  1.288349  0.966658  1.610040  1.762724  0.884416  2.641032  1.455892  0.798788  2.112996
9  5.192006  3.930709  6.453302  6.703140  5.554666  7.851615  6.583147  5.385340  7.780954  1.140682  0.849705  1.431659  1.846893  0.837697  2.856089  1.389545  0.673143  2.105947
