# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
0  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
1  0.865463  0.614826  1.116101  1.000000  1.000000  1.000000  0.988160  0.936550  1.039770  1.000000  1.000000  1.000000  0.968252  0.792069  1.144435  1.000000  1.000000  1.000000
2  1.377835  0.837867  1.917804  1.663661  1.365043  1.962279  1.650857  1.320585  1.981129  0.584963  0.584963  0.584963  0.673323  0.379911  0.966736  0.584963  0.584963  0.584963
3  2.016176  1.343114  2.689239  2.307404  1.871701  2.743108  2.270015  1.757388  2.782642  0.415037  0.415037  0.415037  0.599368  0.089094  1.109642  0.415037  0.415037  0.415037
4  2.682899  1.915606  3.450191  3.044515  2.554137  3.534892  2.990664  2.450560  3.530768  1.068738  0.757292  1.380183  1.140920  0.691326  1.590514  1.088645  0.803784  1.373506
5  3.240380  2.315727  4.165033  3.953143  3.260144  4.646141  3.799942  3.065154  4.534730  1.765008  1.354237  2.175779  1.748069  1.295716  2.200421  1.767205  1.373211  2.161200
6  3.727659  2.700344  4.754973  4.611410  3.894388  5.328432  4.478922  3.711283  5.246561  1.726706  1.413211  2.040200  1.836576  1.277121  2.396031  1.710028  1.391202  2.028853
7  4.307620  3.179160  5.436080  5.314736  4.586883  6.042589  5.106891  4.174315  6.039467  1.483037  1.050324  1.915750  1.785484  0.974591  2.596376  1.478715  0.972615  1.984815
8  4.783189  3.508338  6.058040  6.050075  5.255187  6.844962  5.767741  4.763875  6.771608  1.288370  0.912077  1.664663  1.746605  0.902118  2.591092  1.412413  0.647678  2.177148
9  5.264784  3.816400  6.713167  6.930709  6.017848  7.843570  6.473949  5.261431  7.686468  1.127150  0.760155  1.494146  1.784045  0.888338  2.679751  1.389277  0.520154  2.258400
10  5.713086  4.175899  7.250273  7.626118  6.681253  8.570982  7.154506  5.864049  8.444962  1.423389  0.959783  1.886994  2.010239  1.160426  2.860052  1.956852  1.130786  2.782919
11  6.258304  4.554693  7.961915  8.218061  7.225753  9.210369  7.798842  6.469483  9.128202  2.177131  1.593150  2.761112  2.401519  1.527548  3.275489  2.702436  2.087112  3.317759
12  6.746407  4.947812  8.545002  8.913942  7.809310  10.018573  8.437982  6.990203  9.885761  2.412309  1.929176  2.895442  2.604245  1.635387  3.573103  2.655636  1.956591  3.354681
